"Id","employer_category","job_category","EMPLOYEE_COUNT","Terms_of_emp","Eco_sect","work_description","Job_dep","Working_hours","WORK_CONDITION","EMOLUMENT"
274,"ct_9","O","tr_1","CDI","GZ","542a","01",2020,"C",23194
285,"ct_9","O","tr_5","CDI","CL","373d","01",319,"C",9996
290,"ct_9","O","tr_1","CDI","GZ","344d","01",1638,"P",37790
298,"ct_8","O","tr_3","CDI","SZ","421a","01",786,"P",21938
302,"ct_9","O","tr_5","CDI","NZ","546c","42",2132,"C",21348
317,"ct_9","O","tr_3","CDI","QB","526a","71",170,"C",1939
319,"ct_9","O","tr_2","CDI","HZ","643a","01",1958,"C",20701
322,"ct_6","O","tr_0","CDI","GZ","634c","01",1391,"C",14414
331,"ct_8","O","tr_2","CDI","PZ","422b","73",686,"P",16920
338,"ct_9","O","tr_3","CDI","GZ","462e","69",1522,"C",27795
339,"ct_9","O","tr_5","CDI","CL","676c","01",1796,"C",19906
341,"ct_9","O","tr_6","CDI","NZ","534a","69",1890,"C",17743
348,"ct_9","O","tr_4","CDI","HZ","643a","01",1871,"C",18166
353,"ct_9","O","tr_1","CDI","GZ","554j","01",1389,"C",17473
354,"ct_9","O","tr_2","CDI","FZ","673c","01",1919,"C",25102
355,"ct_9","O","tr_3","CDI","CA","625d","01",3000,"C",39499
357,"ct_8","O","tr_4","CDI","QB","431f","01",970,"C",14916
360,"ct_9","O","tr_4","CDI","HZ","643a","01",1871,"C",19420
363,"ct_9","O","tr_1","CDI","SZ","562b","01",516,"C",4674
378,"ct_9","O","tr_1","TTP","NZ","553b","01",266,"C",2521
379,"ct_8","O","tr_5","CDI","PZ","422b","69",1061,"C",38712
387,"ct_9","O","tr_1","CDI","FZ","632f","74",1767,"C",37427
391,"ct_8","O","tr_4","CDI","QB","434e","01",2087,"C",22985
404,"ct_8","O","tr_5","CDI","QA","526a","01",1760,"C",17827
405,"ct_9","O","tr_5","CDI","CJ","653a","69",1789,"C",22750
406,"ct_8","O","tr_1","CDI","PZ","421b","01",1820,"C",19929
414,"ct_1","O","tr_5","TOA","PZ","342h","45",1391,"P",19990
425,"ct_9","O","tr_5","CDI","GZ","462b","69",2009,"C",33277
429,"ct_9","O","tr_2","CDI","GZ","433d","01",1848,"C",25856
430,"ct_9","O","tr_2","CDI","EZ","623e","01",1750,"C",21046
455,"ct_9","O","tr_2","CDI","GZ","433d","01",1812,"C",19226
462,"ct_8","O","tr_3","CDI","QB","526d","69",1964,"C",22077
469,"ct_8","O","tr_3","CDI","QB","526c","69",928,"C",10732
479,"ct_8","O","tr_5","CDI","QA","461c","69",1820,"C",22418
480,"ct_7","O","tr_1","CDI","TZ","563a","01",251,"N",2378
488,"ct_9","O","tr_3","CDI","FZ","472c","69",1053,"C",13785
489,"ct_9","O","tr_3","CDI","MA","472c","71",1836,"C",25343
490,"ct_9","O","tr_1","CDI","GZ","641a","69",1849,"C",25523
498,"ct_6","O","tr_1","CDI","NZ","563b","01",478,"P",5843
509,"ct_9","O","tr_2","CDI","QA","526b","74",1899,"C",44123
514,"ct_9","O","tr_2","CDI","GZ","463e","01",1702,"C",34507
529,"ct_9","O","tr_1","CDD","KZ","467a","01",1160,"C",13816
533,"ct_8","O","tr_3","CDI","QB","526d","01",1820,"C",18897
540,"ct_9","O","tr_6","CDI","MC","543h","78",1088,"P",8553
542,"ct_9","O","tr_3","CDI","QA","526e","01",1851,"C",18986
549,"ct_9","O","tr_1","CDI","HZ","641a","01",2016,"C",21179
553,"ct_9","O","tr_3","CDI","FZ","681a","69",1700,"C",16050
565,"ct_7","O","tr_1","CDI","TZ","563a","01",335,"N",2630
572,"ct_7","O","tr_0","CDI","QB","563a","01",3000,"N",25557
573,"ct_9","O","tr_5","CDI","CG","674a","01",1725,"C",20182
585,"ct_8","O","tr_1","CDI","SZ","372e","01",1757,"C",34919
587,"ct_9","O","tr_3","CDI","GZ","463c","69",1820,"C",31758
596,"ct_9","O","tr_3","CDI","LZ","461c","69",1807,"C",33778
600,"ct_9","O","tr_1","CDI","GZ","634c","71",2022,"C",24398
601,"ct_9","O","tr_3","CDI","HZ","451a","01",1825,"C",18412
616,"ct_9","O","tr_1","CDI","FZ","681a","69",882,"C",8486
619,"ct_9","O","tr_3","CDI","NZ","684a","01",807,"P",7156
622,"ct_9","O","tr_2","CDI","CA","636c","01",2034,"C",21410
665,"ct_5","O","tr_6","CDI","LZ","434b","01",1773,"C",21005
670,"ct_8","O","tr_6","CDD","QB","563b","01",145,"P",1433
675,"ct_8","O","tr_1","AUT","RZ","435b","01",297,"C",2005
676,"ct_9","O","tr_3","CDI","CC","627d","71",1800,"C",27160
677,"ct_9","O","tr_1","TTP","NZ","623e","71",1800,"N",20985
679,"ct_9","X","tr_2","CDI","HZ","387b","94",304,"C",1008
680,"ct_9","O","tr_4","CDI","CJ","622a","01",1919,"C",18612
684,"ct_9","O","tr_3","CDI","CH","623f","01",1990,"C",29019
687,"ct_9","O","tr_6","CDI","CE","475a","69",1400,"P",33838
688,"ct_9","O","tr_5","CDI","GZ","552a","01",1777,"P",15923
690,"ct_9","O","tr_5","CDI","HZ","451a","71",2348,"C",26440
702,"ct_7","O","tr_1","CDI","QB","563a","01",2746,"N",9999
708,"ct_8","O","tr_4","CDI","QA","525d","01",1865,"C",15564
711,"ct_9","O","tr_2","CDI","IZ","561e","01",1134,"C",11196
719,"ct_9","O","tr_1","CDI","MA","543b","01",1847,"C",19103
720,"ct_9","O","tr_1","CDI","FZ","472c","69",1738,"C",19186
729,"ct_1","O","tr_5","CDI","PZ","422c","01",1820,"C",25315
735,"ct_9","O","tr_1","CDI","SZ","643a","01",1612,"C",15520
737,"ct_9","O","tr_6","CDI","CK","653a","01",1669,"C",15633
739,"ct_9","O","tr_2","CDI","FZ","461c","01",1820,"C",26109
742,"ct_9","O","tr_1","CDI","GZ","553c","01",1711,"C",19227
746,"ct_8","O","tr_3","CDI","RZ","526c","69",1505,"C",19302
764,"ct_9","O","tr_3","CDI","QB","526d","01",1820,"C",18126
765,"ct_9","O","tr_6","CDI","HZ","451a","69",1456,"P",17718
770,"ct_9","O","tr_6","CDI","GZ","683a","69",1913,"C",22780
782,"ct_9","O","tr_1","CDI","LZ","642b","01",643,"C",7737
786,"ct_8","O","tr_6","CDI","QA","431f","01",1812,"C",22959
793,"ct_9","O","tr_1","CDI","SZ","562a","01",1473,"C",17239
794,"ct_9","O","tr_3","CDI","FZ","472c","42",759,"C",13371
799,"ct_9","O","tr_5","CDI","GZ","552a","01",720,"P",6930
800,"ct_9","O","tr_6","CDI","CL","474b","01",576,"C",16946
804,"ct_8","O","tr_3","CDI","PZ","422c","01",1526,"P",16381
805,"ct_8","O","tr_2","CDI","IZ","636d","01",1968,"C",24299
806,"ct_9","A","tr_1","APP","IZ","561d","01",1432,"C",9349
812,"ct_9","O","tr_6","CDI","DZ","386d","01",1789,"C",66170
826,"ct_9","O","tr_1","CDI","GZ","462b","69",1533,"C",17758
831,"ct_9","O","tr_1","CDI","FZ","634b","69",1551,"C",25715
839,"ct_9","O","tr_1","CDI","FZ","632g","69",1820,"C",16849
845,"ct_9","O","tr_3","CDI","CA","685a","01",1813,"C",22250
849,"ct_9","A","tr_2","APP","CM","474c","69",530,"C",2223
858,"ct_5","O","tr_5","CDI","LZ","564a","01",1657,"C",16233
861,"ct_9","O","tr_5","CDD","QA","525d","01",1568,"C",17788
873,"ct_9","O","tr_1","CDI","GZ","462e","73",1824,"C",34445
874,"ct_9","O","tr_3","CDI","GZ","633c","01",980,"C",8244
879,"ct_9","O","tr_1","CDI","KZ","526b","01",1277,"P",17109
885,"ct_9","O","tr_5","CDI","MA","384a","69",1642,"C",37366
887,"ct_9","X","tr_3","AUT","RZ","553c","38",834,"C",6528
891,"ct_7","O","tr_0","CDI","QB","563b","01",276,"N",3075
892,"ct_9","O","tr_4","CDI","QA","431f","69",1858,"C",32467
893,"ct_9","O","tr_5","CDI","CE","477d","01",1395,"C",30343
895,"ct_9","O","tr_2","CDI","QA","526e","01",1976,"C",18152
902,"ct_9","O","tr_1","CDI","LZ","542a","01",1127,"C",11540
915,"ct_9","O","tr_0","CDI","NZ","684a","01",435,"P",3697
916,"ct_9","O","tr_3","CDI","KZ","373c","69",896,"C",42752
918,"ct_6","O","tr_1","CDI","QA","526b","01",704,"P",6606
928,"ct_5","O","tr_5","CDI","LZ","564a","01",1657,"C",16068
938,"ct_9","O","tr_6","CDI","CM","684a","69",1837,"C",21398
943,"ct_3","O","tr_6","CDI","QA","526a","01",1820,"C",21848
948,"ct_9","O","tr_5","CDI","JC","388c","69",1126,"C",26629
949,"ct_9","O","tr_2","CDI","MA","627c","71",1843,"C",20220
958,"ct_9","O","tr_1","CDI","GZ","477b","38",1475,"C",22679
961,"ct_9","O","tr_3","CDI","CH","387a","01",1626,"C",36889
966,"ct_9","O","tr_4","CDI","QB","488a","02",1778,"C",24623
981,"ct_9","O","tr_5","CDI","HZ","641a","02",2191,"C",24393
984,"ct_9","O","tr_2","CDI","GZ","682a","51",1760,"C",15804
986,"ct_9","O","tr_4","CDI","FZ","472c","60",1736,"C",25437
987,"ct_9","O","tr_3","CDI","IZ","561d","02",1216,"P",11064
996,"ct_6","O","tr_1","CDI","KZ","467c","02",1820,"C",21817
997,"ct_9","O","tr_3","CDI","SZ","477a","51",1853,"C",24500
1005,"ct_9","O","tr_2","CDI","HZ","642b","02",1450,"C",14086
1006,"ct_9","O","tr_6","CDI","HZ","652a","02",1820,"C",19487
1007,"ct_9","O","tr_5","CDI","NZ","684a","02",1550,"C",15289
1009,"ct_9","O","tr_6","CDI","KZ","467c","59",1834,"C",43242
1021,"ct_7","O","tr_0","CDI","QB","563a","02",581,"N",2022
1030,"ct_8","O","tr_3","CDI","QB","526a","02",556,"C",4260
1033,"ct_9","O","tr_6","CDI","NZ","534a","75",1593,"C",17893
1039,"ct_9","O","tr_2","CDI","NZ","543f","75",687,"C",13422
1044,"ct_9","O","tr_3","CDI","GZ","552a","02",1518,"C",12442
1050,"ct_9","O","tr_3","CDI","GZ","374a","60",1687,"C",34465
1059,"ct_9","O","tr_3","CDI","CM","477b","02",2200,"C",27447
1060,"ct_9","O","tr_1","CDI","HZ","641a","02",1530,"C",14061
1065,"ct_9","O","tr_1","CDI","GZ","631a","60",2047,"C",22255
1066,"ct_9","O","tr_0","CDI","QB","525d","02",1624,"C",16578
1069,"ct_2","X","tr_5","AUT","OZ","525c","02",1821,"C",14971
1071,"ct_9","O","tr_1","CDD","GZ","554b","51",928,"C",8783
1076,"ct_9","O","tr_5","CDI","CC","627f","02",1729,"C",20157
1078,"ct_3","O","tr_6","AUT","QA","523d","02",1138,"P",15573
1095,"ct_8","O","tr_4","CDI","QB","563b","02",1465,"P",14067
1108,"ct_9","O","tr_1","CDI","FZ","632j","60",1661,"C",20275
1118,"ct_9","O","tr_3","CDI","GZ","552a","02",1760,"C",16575
1119,"ct_9","O","tr_3","CDI","IZ","561b","02",1820,"C",27358
1122,"ct_9","O","tr_4","CDI","GZ","676c","02",815,"C",8985
1129,"ct_9","O","tr_4","CDI","CE","625c","02",1921,"C",30793
1131,"ct_8","O","tr_1","CDI","QB","526c","02",1571,"C",13896
1132,"ct_8","O","tr_1","CDI","NZ","691e","02",2200,"C",33715
1133,"ct_8","O","tr_3","CDI","QA","431f","02",644,"P",10279
1143,"ct_9","O","tr_3","CDI","HZ","466c","02",1772,"C",29808
1149,"ct_1","X","tr_3","AUT","PZ","564b","02",592,"P",5726
1158,"ct_9","O","tr_5","CDI","NZ","534a","93",2148,"C",24394
1166,"ct_2","O","tr_5","CDI","QB","524c","02",1397,"P",15574
1170,"ct_9","O","tr_0","CDI","QB","525d","02",1624,"C",16887
1179,"ct_9","O","tr_3","CDI","HZ","641b","02",329,"C",3648
1191,"ct_3","O","tr_5","CDI","QA","632k","51",1820,"C",23796
1193,"ct_9","O","tr_1","CDD","QA","433a","02",1319,"C",13824
1202,"ct_9","O","tr_1","CDI","IZ","561d","02",1403,"C",13808
1204,"ct_9","O","tr_1","CDI","HZ","643a","51",272,"C",2146
1207,"ct_9","O","tr_4","CDI","GZ","542a","75",1761,"C",12234
1210,"ct_8","O","tr_3","CDI","PZ","341a","02",1842,"C",29909
1225,"ct_9","O","tr_1","TTP","NZ","684a","77",593,"N",7943
1237,"ct_9","O","tr_3","TOA","HZ","641a","13",612,"C",8836
1243,"ct_9","O","tr_4","CDI","QB","526a","80",1820,"C",21970
1244,"ct_9","O","tr_5","CDI","HZ","641a","41",2166,"C",23634
1249,"ct_9","O","tr_2","CDI","NZ","541d","22",163,"P",2351
1251,"ct_9","O","tr_2","CDI","GZ","653a","51",2074,"C",25393
1260,"ct_9","O","tr_5","CDI","CJ","624c","02",1418,"C",16799
1264,"ct_1","O","tr_4","AUT","PZ","341a","02",1820,"C",33236
1271,"ct_9","O","tr_6","CDI","CH","673c","02",2022,"C",26260
1284,"ct_9","O","tr_1","CDI","IZ","543f","77",192,"P",2166
1288,"ct_9","O","tr_1","CDI","FZ","671c","02",2049,"C",23184
1299,"ct_9","O","tr_3","CDI","HZ","641a","02",2028,"C",21465
1301,"ct_8","O","tr_4","CDI","PZ","341a","77",1820,"C",33436
1307,"ct_9","O","tr_4","CDI","FZ","461d","92",1813,"C",38555
1308,"ct_9","X","tr_4","AUT","NZ","555a","02",1761,"C",15735
1309,"ct_1","O","tr_6","AUT","OZ","523c","75",1820,"C",18924
1312,"ct_9","O","tr_0","CDI","NZ","534a","92",1830,"C",18260
1319,"ct_9","O","tr_4","CDI","GZ","487a","93",1603,"C",24608
1326,"ct_8","O","tr_3","CDI","QB","423b","75",1729,"C",28566
1330,"ct_9","O","tr_6","CDI","HZ","486d","02",1686,"C",33068
1331,"ct_3","O","tr_6","CDI","QA","523d","02",1092,"P",11140
1333,"ct_9","O","tr_4","CDI","NZ","684a","02",1430,"C",13455
1340,"ct_9","O","tr_2","CDI","GZ","634c","02",2028,"C",25963
1344,"ct_9","O","tr_3","CDI","FZ","621c","51",1731,"C",33319
1345,"ct_9","O","tr_1","CDI","NZ","691e","80",985,"C",9829
1348,"ct_9","O","tr_6","CDI","GZ","462b","02",1816,"C",22445
1353,"ct_9","O","tr_5","CDI","CL","674a","60",1595,"C",20881
1358,"ct_8","O","tr_6","CDI","QA","431f","02",1820,"C",34037
1364,"ct_1","O","tr_6","CDI","OZ","422a","80",1820,"C",16882
1390,"ct_9","O","tr_5","CDI","GZ","462e","02",1577,"C",19927
1396,"ct_9","O","tr_4","CDI","CC","461f","02",1771,"C",34518
1397,"ct_9","O","tr_1","CDI","GZ","623e","60",1672,"C",22794
1399,"ct_3","O","tr_5","CDI","QB","526d","51",1820,"C",20267
1410,"ct_8","O","tr_1","CDI","NZ","631a","02",1674,"C",14041
1423,"ct_4","O","tr_4","CDI","PZ","388a","77",1832,"C",24066
1425,"ct_9","O","tr_3","CDI","FZ","477c","02",1715,"C",19825
1426,"ct_8","X","tr_3","AUT","EZ","676a","02",192,"P",2413
1427,"ct_9","O","tr_3","CDI","IZ","561d","92",765,"C",10997
1428,"ct_9","O","tr_3","CDI","HZ","333c","02",1833,"C",24811
1436,"ct_6","O","tr_1","CDI","GZ","554e","02",1630,"C",18633
1440,"ct_9","O","tr_1","CDI","GZ","344d","02",1538,"P",36758
1444,"ct_9","O","tr_4","CDI","KZ","376e","59",2882,"C",58965
1452,"ct_9","O","tr_4","CDI","NZ","676a","02",1739,"C",15275
1460,"ct_9","O","tr_2","CDI","KZ","462e","10",1645,"C",34653
1462,"ct_9","O","tr_4","CDD","GZ","552a","02",137,"P",1072
1463,"ct_9","O","tr_6","CDI","GZ","551a","02",1852,"C",19272
1467,"ct_9","O","tr_1","CDI","IZ","488b","60",1746,"C",34048
1468,"ct_5","O","tr_6","CDI","HZ","481b","94",1824,"C",43039
1469,"ct_9","O","tr_3","CDI","QA","542a","51",1497,"C",22722
1477,"ct_9","O","tr_3","CDI","CJ","672a","02",601,"C",19907
1478,"ct_9","A","tr_1","APP","HZ","625h","02",1155,"C",11699
1479,"ct_1","O","tr_4","CDD","PZ","422a","80",759,"C",10293
1487,"ct_9","O","tr_6","CDI","HZ","521a","80",1842,"C",19019
1493,"ct_2","O","tr_5","CDI","OZ","524c","60",1560,"P",14187
1495,"ct_8","O","tr_4","CDI","OZ","451e","51",792,"P",12117
1501,"ct_4","O","tr_3","CDI","OZ","344b","02",1849,"C",67506
1502,"ct_9","O","tr_4","CDI","HZ","641a","02",2135,"C",20465
1505,"ct_9","O","tr_4","CDI","CG","673b","02",1740,"C",19424
1520,"ct_8","O","tr_5","CDI","OZ","545d","02",1820,"C",25797
1538,"ct_9","O","tr_4","CDI","NZ","684a","02",663,"P",5137
1542,"ct_9","O","tr_5","CDI","NZ","534a","80",1820,"P",16696
1563,"ct_6","O","tr_1","CDI","GZ","553c","59",642,"C",6388
1565,"ct_8","O","tr_4","CDI","PZ","422b","02",1820,"C",38607
1575,"ct_9","O","tr_1","CDI","KZ","542a","02",1000,"P",9836
1594,"ct_9","O","tr_4","CDI","HZ","451a","02",1815,"C",18983
1597,"ct_8","O","tr_6","CDI","OZ","467d","02",1239,"C",17619
1609,"ct_9","O","tr_5","CDI","GZ","385c","44",1418,"C",28870
1610,"ct_9","A","tr_6","APP","KZ","543h","02",1493,"C",11146
1615,"ct_9","A","tr_1","APP","IZ","468a","59",673,"C",5551
1635,"ct_9","O","tr_6","CDI","CE","484a","02",1827,"C",43828
1645,"ct_9","O","tr_1","CDI","FZ","681a","02",1617,"C",15280
1651,"ct_9","A","tr_4","APP","GZ","551a","02",769,"C",5111
1653,"ct_9","O","tr_6","CDI","NZ","534a","93",1506,"C",15049
1661,"ct_9","O","tr_2","CDI","NZ","542a","02",593,"C",9137
1667,"ct_9","O","tr_3","CDI","FZ","634d","62",1863,"C",25931
1672,"ct_9","O","tr_3","CDI","QB","526a","02",1191,"P",22523
1676,"ct_9","O","tr_5","CDI","HZ","382c","02",1800,"C",44567
1677,"ct_8","O","tr_5","CDI","KZ","467c","02",1391,"P",30431
1680,"ct_9","O","tr_4","CDI","CC","475b","02",1744,"C",27018
1683,"ct_9","O","tr_4","CDI","QA","526e","02",2154,"C",21833
1686,"ct_9","O","tr_0","CDI","GZ","553c","02",403,"C",2444
1687,"ct_9","O","tr_1","CDI","CM","627d","77",1634,"C",17158
1689,"ct_9","O","tr_1","CDI","GZ","554d","02",870,"P",9157
1693,"ct_8","O","tr_6","CDI","QA","451h","02",1522,"C",30353
1702,"ct_9","O","tr_2","CDI","NZ","552a","02",1895,"C",20482
1713,"ct_9","O","tr_4","CDD","GZ","552a","02",298,"P",2863
1716,"ct_2","O","tr_6","AUT","QB","563a","02",3000,"C",34423
1725,"ct_9","O","tr_1","TTP","NZ","652a","60",927,"C",10421
1732,"ct_1","O","tr_6","CDD","OZ","524b","93",303,"C",5586
1733,"ct_9","O","tr_2","CDI","GZ","552a","02",491,"C",4744
1751,"ct_9","O","tr_6","CDI","GZ","552a","02",1463,"P",12813
1754,"ct_9","O","tr_6","CDI","NZ","462e","59",1820,"C",35563
1758,"ct_9","O","tr_6","CDI","GZ","551a","51",1483,"P",15049
1763,"ct_8","O","tr_3","CDD","QB","563c","02",374,"C",5124
1776,"ct_9","O","tr_4","CDI","QB","526a","02",1676,"C",23949
1781,"ct_9","O","tr_3","CDI","CA","674c","02",1619,"C",14953
1784,"ct_8","O","tr_4","CDI","QB","525d","02",2040,"C",25644
1789,"ct_9","O","tr_1","CDI","QA","526b","51",1820,"C",21257
1793,"ct_6","O","tr_1","CDI","SZ","562b","02",1089,"P",11689
1795,"ct_9","O","tr_1","CDI","CC","387c","03",159,"C",10656
1800,"ct_9","O","tr_6","CDI","CA","625d","03",1593,"C",21507
1807,"ct_9","O","tr_4","CDI","GZ","462c","03",1823,"C",27514
1813,"ct_7","O","tr_0","CDI","QB","563a","03",418,"N",1339
1814,"ct_9","O","tr_3","CDI","FZ","481a","03",1487,"C",34455
1818,"ct_9","O","tr_4","CDI","NZ","464a","03",1834,"C",16066
1820,"ct_9","A","tr_2","APP","CL","682a","03",1283,"C",6474
1821,"ct_9","O","tr_4","CDI","CH","673c","03",1491,"C",18711
1822,"ct_3","O","tr_4","AUT","QB","526d","03",831,"P",12210
1825,"ct_9","O","tr_3","CDI","HZ","641a","26",1530,"C",20916
1827,"ct_9","O","tr_3","CDI","CM","433c","03",1694,"C",37822
1837,"ct_3","O","tr_6","AUT","QA","431f","03",1515,"P",33921
1840,"ct_9","O","tr_1","CDI","CK","542a","03",1926,"C",20306
1855,"ct_2","O","tr_6","AUT","OZ","523c","03",1820,"C",21240
1866,"ct_9","O","tr_1","CDI","FZ","681b","03",1820,"C",25231
1867,"ct_9","O","tr_3","CDI","MA","461d","03",1820,"C",29365
1873,"ct_9","O","tr_6","CDI","GZ","551a","03",1924,"C",19586
1894,"ct_9","O","tr_6","CDI","HZ","389c","13",1719,"C",52686
1895,"ct_6","O","tr_1","CDI","MA","461d","03",1820,"C",31490
1900,"ct_9","O","tr_5","CDI","QA","431f","03",1820,"C",26260
1903,"ct_9","O","tr_1","CDI","KZ","461e","25",448,"C",7165
1905,"ct_9","O","tr_2","CDI","GZ","682a","03",1962,"C",19051
1920,"ct_9","O","tr_4","CDI","CC","627f","03",1605,"C",14542
1927,"ct_8","O","tr_4","CDI","QB","526d","03",1785,"C",19260
1928,"ct_9","O","tr_5","CDI","NZ","534a","63",1174,"P",10342
1931,"ct_9","O","tr_1","CDI","GZ","462a","03",1954,"C",28315
1957,"ct_9","O","tr_0","CDI","QA","526e","03",159,"P",1733
1960,"ct_9","O","tr_6","CDI","GZ","462b","03",2028,"C",33917
1967,"ct_9","O","tr_1","CDI","MA","543b","03",2013,"C",26806
1969,"ct_9","O","tr_1","CDI","BZ","481b","03",1845,"C",32240
1971,"ct_9","O","tr_6","CDI","CG","625c","03",1555,"C",19209
1977,"ct_9","O","tr_6","CDI","CA","625d","03",1808,"P",24317
1985,"ct_9","O","tr_1","TTP","NZ","633a","03",357,"C",3501
1987,"ct_9","O","tr_2","CDI","JC","388a","03",1806,"C",63163
1989,"ct_9","O","tr_1","CDI","CM","477c","03",1939,"C",30096
1993,"ct_8","O","tr_5","CDD","NZ","684a","03",750,"C",6687
1996,"ct_9","O","tr_1","CDI","GZ","487a","03",1820,"P",33099
2000,"ct_9","O","tr_5","CDI","CG","676c","03",1664,"C",16597
2003,"ct_1","O","tr_6","AUT","OZ","523b","87",508,"P",4749
2006,"ct_9","O","tr_6","CDI","CE","373b","03",1644,"P",37773
2011,"ct_9","O","tr_5","CDI","MA","423b","63",1076,"P",8683
2022,"ct_9","O","tr_3","CDI","GZ","551a","03",1657,"C",15703
2028,"ct_1","O","tr_6","AUT","OZ","532a","36",2564,"C",28946
2029,"ct_9","O","tr_2","CDI","IZ","488a","59",1273,"C",16579
2031,"ct_8","O","tr_4","CDI","QB","434a","03",1820,"C",33026
2033,"ct_9","O","tr_1","CDI","HZ","641a","03",1522,"C",12978
2041,"ct_9","O","tr_4","CDI","CH","474a","03",1827,"C",25152
2046,"ct_9","O","tr_1","CDI","CC","675b","63",1310,"C",10625
2052,"ct_9","O","tr_1","CDI","BZ","621g","03",1681,"C",22158
2055,"ct_9","O","tr_3","CDI","GZ","634c","03",1642,"C",17203
2062,"ct_9","O","tr_1","CDI","GZ","344d","03",1067,"P",25824
2064,"ct_7","O","tr_1","CDI","QB","563b","03",1736,"N",16080
2068,"ct_9","A","tr_1","APP","FZ","681b","03",1666,"C",10101
2069,"ct_9","O","tr_6","CDI","CE","385b","03",1820,"C",56921
2078,"ct_9","O","tr_1","CDI","NZ","542a","03",1540,"C",15239
2081,"ct_9","O","tr_4","CDI","IZ","643a","03",1834,"C",18341
2084,"ct_5","O","tr_5","AUT","LZ","472d","03",1820,"C",23148
2085,"ct_7","O","tr_1","CDI","QB","563a","03",3000,"N",10117
2089,"ct_9","O","tr_6","CDI","GZ","462b","03",1820,"N",25207
