"Id","Emp_contract"
498,"COND.1.6"
509,"COND.1.6"
514,"COND.1.6"
515,"COND.1.6"
529,"COND.1.5"
533,"COND.1.6"
534,"COND.1.6"
540,"COND.1.6"
542,"COND.1.6"
549,"COND.1.6"
553,"COND.1.6"
564,"COND.2.1"
565,"COND.1.6"
572,"COND.1.6"
573,"COND.1.6"
585,"COND.1.6"
587,"COND.1.6"
589,"COND.2.2"
596,"COND.1.6"
600,"COND.1.6"
601,"COND.1.6"
616,"COND.1.6"
619,"COND.1.6"
622,"COND.1.6"
653,"COND.1.6"
665,"COND.1.6"
670,"COND.1.5"
675,"COND.1.5"
676,"COND.1.6"
677,"COND.1.2"
679,"COND.1.6"
680,"COND.1.6"
684,"COND.1.6"
685,"COND.2.2"
687,"COND.1.6"
688,"COND.1.6"
690,"COND.1.6"
692,"COND.2.1"
698,"COND.1.6"
702,"COND.1.6"
708,"COND.1.6"
711,"COND.1.6"
719,"COND.1.6"
720,"COND.1.6"
726,"COND.2.1"
729,"COND.1.6"
735,"COND.1.6"
737,"COND.1.6"
739,"COND.1.6"
742,"COND.1.6"
745,"COND.2.1"
746,"COND.1.6"
750,"COND.2.1"
751,"COND.2.1"
759,"COND.1.1"
764,"COND.1.6"
765,"COND.1.6"
770,"COND.1.6"
774,"COND.2.1"
782,"COND.1.6"
784,"COND.2.1"
786,"COND.1.6"
793,"COND.1.6"
794,"COND.1.6"
799,"COND.1.6"
800,"COND.1.6"
804,"COND.1.6"
805,"COND.1.6"
806,"COND.1.1"
812,"COND.1.6"
815,"COND.2.2"
823,"COND.1.6"
826,"COND.1.6"
831,"COND.1.6"
839,"COND.1.6"
842,"COND.2.2"
845,"COND.1.6"
849,"COND.1.1"
858,"COND.1.6"
861,"COND.1.5"
872,"COND.2.2"
873,"COND.1.6"
874,"COND.1.6"
878,"COND.2.1"
879,"COND.1.6"
883,"COND.1.6"
885,"COND.1.6"
887,"COND.1.5"
891,"COND.1.6"
892,"COND.1.6"
893,"COND.1.6"
895,"COND.1.6"
896,"COND.2.1"
902,"COND.1.6"
915,"COND.1.6"
916,"COND.1.6"
918,"COND.1.6"
924,"COND.1.6"
928,"COND.1.6"
938,"COND.1.6"
942,"COND.2.2"
943,"COND.1.6"
948,"COND.1.6"
949,"COND.1.6"
958,"COND.1.6"
960,"COND.1.6"
961,"COND.1.6"
966,"COND.1.6"
981,"COND.1.6"
984,"COND.1.6"
986,"COND.1.6"
987,"COND.1.6"
996,"COND.1.6"
997,"COND.1.6"
1004,"COND.2.1"
1005,"COND.1.6"
1006,"COND.1.6"
1007,"COND.1.6"
1009,"COND.1.6"
1021,"COND.1.6"
1027,"COND.2.1"
1030,"COND.1.6"
1033,"COND.1.6"
1036,"COND.1.6"
1037,"COND.2.1"
1038,"COND.2.2"
1039,"COND.1.6"
1044,"COND.1.6"
1050,"COND.1.6"
1059,"COND.1.6"
1060,"COND.1.6"
1065,"COND.1.6"
1066,"COND.1.6"
1069,"COND.1.3"
1071,"COND.1.2"
1076,"COND.1.6"
1078,"COND.1.5"
1087,"COND.2.1"
1095,"COND.1.6"
1108,"COND.1.6"
1116,"COND.1.6"
1118,"COND.1.6"
1119,"COND.1.6"
1122,"COND.1.6"
1129,"COND.1.6"
1131,"COND.1.6"
1132,"COND.1.6"
1133,"COND.1.6"
1138,"COND.2.1"
1143,"COND.1.6"
1149,"COND.1.3"
1157,"COND.1.2"
1158,"COND.1.6"
1165,"COND.2.1"
1166,"COND.1.6"
1170,"COND.1.6"
1172,"COND.1.3"
1179,"COND.1.6"
1191,"COND.1.6"
1193,"COND.1.5"
1202,"COND.1.6"
1204,"COND.1.6"
1207,"COND.1.6"
1210,"COND.1.6"
1218,"COND.2.1"
1222,"COND.2.1"
1225,"COND.1.5"
1237,"COND.1.5"
1243,"COND.1.6"
1244,"COND.1.6"
1249,"COND.1.6"
1251,"COND.1.6"
1260,"COND.1.6"
1264,"COND.1.5"
1267,"COND.1.5"
1271,"COND.1.6"
1276,"COND.1.6"
1284,"COND.1.6"
1288,"COND.1.6"
1299,"COND.1.6"
1301,"COND.1.6"
1307,"COND.1.6"
1308,"COND.1.5"
1309,"COND.1.2"
1312,"COND.1.6"
1319,"COND.1.6"
1326,"COND.1.6"
1330,"COND.1.6"
1331,"COND.1.6"
1333,"COND.1.6"
1340,"COND.1.6"
1344,"COND.1.6"
1345,"COND.1.6"
1348,"COND.1.6"
1353,"COND.1.6"
1358,"COND.1.6"
1364,"COND.1.6"
1379,"COND.1.6"
1383,"COND.1.6"
1390,"COND.1.6"
1393,"COND.2.2"
1396,"COND.1.6"
1397,"COND.1.6"
1399,"COND.1.6"
1410,"COND.1.6"
1423,"COND.1.6"
1425,"COND.1.6"
1426,"COND.1.2"
1427,"COND.1.6"
1428,"COND.1.6"
1436,"COND.1.6"
1440,"COND.1.6"
1443,"COND.2.2"
1444,"COND.1.6"
1452,"COND.1.6"
1456,"COND.1.6"
1460,"COND.1.6"
1462,"COND.1.5"
1463,"COND.1.6"
1467,"COND.1.6"
1468,"COND.1.6"
1469,"COND.1.6"
1470,"COND.1.6"
1473,"COND.2.1"
1476,"COND.1.6"
1477,"COND.1.6"
1478,"COND.1.1"
1479,"COND.1.5"
1487,"COND.1.6"
1493,"COND.1.6"
1495,"COND.1.6"
1501,"COND.1.6"
1502,"COND.1.6"
1505,"COND.1.6"
1520,"COND.1.6"
1521,"COND.1.6"
1531,"COND.1.3"
1533,"COND.1.1"
1538,"COND.1.6"
1542,"COND.1.6"
1549,"COND.2.1"
1557,"COND.1.6"
1563,"COND.1.6"
1565,"COND.1.6"
1574,"COND.2.1"
1575,"COND.1.6"
1594,"COND.1.6"
1597,"COND.1.6"
1609,"COND.1.6"
1610,"COND.1.1"
1614,"COND.1.6"
1615,"COND.1.1"
1618,"COND.1.6"
1619,"COND.1.6"
1635,"COND.1.6"
1645,"COND.1.6"
1651,"COND.1.1"
1652,"COND.1.6"
1653,"COND.1.6"
1661,"COND.1.6"
1663,"COND.1.6"
1667,"COND.1.6"
1672,"COND.1.6"
1676,"COND.1.6"
1677,"COND.1.6"
1679,"COND.2.1"
1680,"COND.1.6"
1683,"COND.1.6"
1686,"COND.1.6"
1687,"COND.1.6"
1689,"COND.1.6"
1693,"COND.1.6"
1698,"COND.2.2"
1702,"COND.1.6"
1706,"COND.1.6"
1713,"COND.1.5"
1714,"COND.1.6"
1716,"COND.1.5"
1725,"COND.1.5"
1732,"COND.1.5"
1733,"COND.1.6"
1746,"COND.1.6"
1750,"COND.2.1"
1751,"COND.1.6"
1753,"COND.2.1"
1754,"COND.1.6"
1758,"COND.1.6"
1763,"COND.1.5"
1776,"COND.1.6"
1781,"COND.1.6"
1784,"COND.1.6"
1789,"COND.1.6"
1793,"COND.1.6"
1795,"COND.1.6"
1796,"COND.1.6"
1800,"COND.1.6"
1807,"COND.1.6"
1810,"COND.1.6"
1812,"COND.1.5"
1813,"COND.1.6"
1814,"COND.1.6"
1818,"COND.1.6"
1820,"COND.1.1"
1821,"COND.1.6"
1822,"COND.1.5"
1825,"COND.1.6"
1827,"COND.1.6"
1836,"COND.1.6"
1837,"COND.1.5"
1840,"COND.1.6"
1855,"COND.1.5"
1857,"COND.2.1"
1859,"COND.1.6"
1866,"COND.1.6"
1867,"COND.1.6"
1873,"COND.1.6"
1884,"COND.1.6"
1887,"COND.2.1"
1894,"COND.1.6"
1895,"COND.1.6"
1900,"COND.1.6"
1903,"COND.1.6"
1905,"COND.1.6"
1908,"COND.1.6"
1911,"COND.2.1"
1916,"COND.2.2"
1920,"COND.1.6"
1927,"COND.1.6"
1928,"COND.1.6"
1931,"COND.1.6"
1934,"COND.2.1"
1940,"COND.1.6"
1941,"COND.1.5"
1942,"COND.1.6"
1957,"COND.1.6"
1960,"COND.1.6"
1967,"COND.1.6"
1969,"COND.1.6"
1971,"COND.1.6"
1974,"COND.2.2"
1977,"COND.1.6"
1979,"COND.2.1"
1985,"COND.1.5"
1987,"COND.1.6"
1988,"COND.2.1"
1989,"COND.1.6"
1993,"COND.1.5"
1996,"COND.1.6"
2000,"COND.1.6"
2003,"COND.1.5"
2006,"COND.1.6"
2011,"COND.1.6"
2022,"COND.1.6"
2026,"COND.1.6"
2028,"COND.1.5"
2029,"COND.1.6"
2031,"COND.1.6"
2033,"COND.1.6"
2039,"COND.1.6"
2041,"COND.1.6"
2043,"COND.1.6"
2046,"COND.1.6"
2047,"COND.1.6"
2052,"COND.1.6"
2053,"COND.2.1"
2055,"COND.1.6"
2061,"COND.2.1"
2062,"COND.1.6"
2064,"COND.1.6"
2068,"COND.1.1"
2069,"COND.1.6"
2078,"COND.1.6"
2081,"COND.1.6"
2084,"COND.1.5"
2085,"COND.1.6"
2086,"COND.1.6"
2089,"COND.1.6"
2094,"COND.2.2"
2100,"COND.1.6"
2101,"COND.1.6"
2108,"COND.2.1"
2111,"COND.1.6"
2112,"COND.1.5"
2113,"COND.1.5"
2115,"COND.1.6"
2117,"COND.2.1"
2124,"COND.1.6"
2128,"COND.1.5"
2136,"COND.1.6"
2139,"COND.1.6"
2141,"COND.1.5"
2149,"COND.1.6"
2150,"COND.2.1"
2151,"COND.1.6"
2152,"COND.1.5"
2154,"COND.1.5"
2159,"COND.1.6"
2163,"COND.1.6"
2166,"COND.2.1"
2167,"COND.1.6"
2183,"COND.1.6"
2186,"COND.2.1"
2190,"COND.1.6"
2194,"COND.1.5"
2202,"COND.1.6"
2204,"COND.1.6"
2212,"COND.1.6"
2219,"COND.2.1"
2220,"COND.2.1"
2224,"COND.1.6"
2226,"COND.1.5"
2228,"COND.1.5"
2230,"COND.2.2"
2231,"COND.1.6"
2233,"COND.1.6"
2239,"COND.2.2"
2243,"COND.1.6"
2248,"COND.1.6"
2253,"COND.1.2"
2254,"COND.1.6"
2256,"COND.2.1"
2258,"COND.1.6"
2261,"COND.1.6"
2262,"COND.1.6"
2263,"COND.1.6"
2268,"COND.1.6"
2271,"COND.2.1"
2275,"COND.1.6"
2276,"COND.1.1"
2286,"COND.1.6"
2290,"COND.1.6"
2292,"COND.2.1"
2293,"COND.1.6"
2295,"COND.1.6"
2297,"COND.1.6"
2302,"COND.1.6"
2303,"COND.1.6"
2304,"COND.1.5"
2320,"COND.1.6"
2321,"COND.1.6"
2323,"COND.1.6"
2327,"COND.1.5"
2329,"COND.1.6"
2332,"COND.2.1"
2338,"COND.1.6"
2344,"COND.1.6"
2350,"COND.1.5"
2351,"COND.1.6"
2352,"COND.1.6"
2363,"COND.1.6"
2364,"COND.2.2"
2368,"COND.1.6"
2370,"COND.1.1"
2374,"COND.1.5"
2387,"COND.1.6"
2389,"COND.1.6"
2390,"COND.2.2"
2392,"COND.2.1"
2399,"COND.1.6"
2405,"COND.1.6"
2419,"COND.1.6"
2421,"COND.1.6"
2429,"COND.1.6"
2433,"COND.1.6"
2440,"COND.2.1"
2444,"COND.1.6"
2458,"COND.1.6"
2460,"COND.1.6"
2464,"COND.1.6"
2466,"COND.1.6"
2467,"COND.1.5"
2472,"COND.1.6"
2477,"COND.1.6"
2482,"COND.1.6"
2486,"COND.1.6"
2489,"COND.1.6"
2497,"COND.1.5"
2506,"COND.1.6"
2507,"COND.1.6"
2523,"COND.1.5"
2524,"COND.1.6"
2525,"COND.1.5"
2541,"COND.1.6"
2556,"COND.1.6"
2561,"COND.1.6"
2564,"COND.1.6"
2574,"COND.1.6"
2578,"COND.1.6"
2580,"COND.1.6"
2581,"COND.1.6"
2582,"COND.2.2"
2586,"COND.1.6"
2608,"COND.1.6"
2610,"COND.1.6"
2611,"COND.1.6"
2612,"COND.1.3"
2613,"COND.2.1"
2620,"COND.2.2"
2621,"COND.1.6"
2632,"COND.2.1"
2635,"COND.2.2"
2643,"COND.2.1"
2645,"COND.1.3"
2647,"COND.2.1"
2649,"COND.1.6"
2651,"COND.1.6"
2659,"COND.1.6"
2664,"COND.1.6"
2666,"COND.1.6"
2670,"COND.1.6"
2688,"COND.1.6"
2689,"COND.1.6"
2690,"COND.1.6"
2691,"COND.1.6"
2692,"COND.1.6"
2694,"COND.1.6"
2698,"COND.1.6"
2703,"COND.1.6"
2719,"COND.1.6"
2724,"COND.1.6"
2725,"COND.1.6"
2726,"COND.1.6"
2728,"COND.2.1"
2731,"COND.1.6"
2735,"COND.2.1"
2736,"COND.1.5"
2747,"COND.1.6"
2748,"COND.1.6"
2749,"COND.1.6"
2753,"COND.2.2"
2756,"COND.1.6"
2757,"COND.1.6"
2763,"COND.1.6"
2770,"COND.1.5"
2772,"COND.1.1"
2773,"COND.1.5"
2782,"COND.1.6"
2786,"COND.2.2"
2788,"COND.2.1"
2789,"COND.1.5"
2792,"COND.1.6"
2802,"COND.1.6"
2805,"COND.1.6"
2806,"COND.1.6"
2808,"COND.1.6"
2814,"COND.1.6"
2819,"COND.1.6"
2821,"COND.1.6"
2841,"COND.1.6"
2842,"COND.1.6"
2845,"COND.1.6"
2846,"COND.1.6"
2847,"COND.2.2"
2851,"COND.1.6"
2853,"COND.1.6"
2868,"COND.1.6"
2876,"COND.1.6"
2881,"COND.1.6"
2886,"COND.1.6"
2888,"COND.2.2"
2893,"COND.1.6"
2895,"COND.1.6"
2898,"COND.1.5"
2914,"COND.1.6"
2922,"COND.1.6"
2926,"COND.1.6"
2930,"COND.2.2"
2938,"COND.1.6"
2945,"COND.2.2"
2946,"COND.1.6"
2949,"COND.1.6"
2950,"COND.1.6"
2951,"COND.1.5"
2954,"COND.1.6"
2961,"COND.2.2"
2976,"COND.2.1"
2977,"COND.1.6"
2980,"COND.1.6"
2981,"COND.1.6"
2982,"COND.1.6"
2983,"COND.1.6"
2991,"COND.1.6"
2998,"COND.1.6"
3000,"COND.1.1"
3005,"COND.1.5"
3006,"COND.2.1"
3009,"COND.1.6"
3012,"COND.2.2"
3016,"COND.1.6"
3018,"COND.1.6"
3021,"COND.2.1"
3031,"COND.1.6"
3032,"COND.1.6"
3049,"COND.1.6"
3050,"COND.2.1"
3061,"COND.1.6"
3063,"COND.1.5"
3065,"COND.1.6"
3069,"COND.1.6"
3079,"COND.1.6"
3082,"COND.2.1"
3084,"COND.1.6"
3086,"COND.1.6"
3092,"COND.1.6"
3095,"COND.1.6"
3096,"COND.1.6"
3097,"COND.1.6"
3102,"COND.1.6"
3105,"COND.1.6"
3110,"COND.1.6"
3112,"COND.1.6"
3115,"COND.1.6"
3116,"COND.1.5"
3120,"COND.1.5"
3121,"COND.1.6"
3129,"COND.1.6"
3131,"COND.1.6"
3132,"COND.1.6"
3135,"COND.1.6"
3140,"COND.1.2"
3143,"COND.1.6"
3149,"COND.1.6"
3150,"COND.2.2"
3152,"COND.1.6"
3159,"COND.1.6"
3163,"COND.1.2"
3172,"COND.1.6"
3176,"COND.1.6"
3177,"COND.2.1"
3184,"COND.1.6"
3201,"COND.1.6"
3203,"COND.1.1"
3205,"COND.1.6"
3214,"COND.1.6"
3215,"COND.1.6"
3221,"COND.1.6"
3223,"COND.2.2"
3242,"COND.1.6"
3249,"COND.1.6"
3250,"COND.1.6"
3256,"COND.2.2"
3262,"COND.1.6"
3263,"COND.1.6"
3264,"COND.2.2"
3268,"COND.1.1"
3270,"COND.1.5"
3271,"COND.2.1"
3277,"COND.1.6"
3278,"COND.1.6"
3289,"COND.1.6"
3292,"COND.1.6"
3295,"COND.1.6"
3303,"COND.1.6"
3305,"COND.1.6"
3306,"COND.1.6"
3314,"COND.1.5"
3316,"COND.2.1"
3318,"COND.1.6"
3325,"COND.1.6"
3352,"COND.1.5"
3358,"COND.1.6"
3360,"COND.1.6"
3361,"COND.1.6"
3364,"COND.1.5"
3367,"COND.1.6"
3372,"COND.1.6"
3378,"COND.1.6"
3380,"COND.1.6"
3382,"COND.1.6"
3383,"COND.1.6"
3385,"COND.1.6"
3387,"COND.1.6"
3393,"COND.2.1"
3395,"COND.1.6"
3399,"COND.1.6"
3401,"COND.1.6"
3402,"COND.1.6"
3407,"COND.1.6"
3417,"COND.1.6"
3418,"COND.1.6"
3419,"COND.1.6"
3420,"COND.2.2"
3423,"COND.1.6"
3443,"COND.1.5"
3447,"COND.1.6"
3448,"COND.1.6"
3450,"COND.1.6"
3451,"COND.2.2"
3455,"COND.1.2"
3457,"COND.1.6"
3460,"COND.1.6"
3461,"COND.2.1"
3462,"COND.2.1"
3466,"COND.1.6"
3468,"COND.1.6"
3477,"COND.1.6"
3479,"COND.1.6"
3481,"COND.1.6"
3482,"COND.1.6"
3487,"COND.1.6"
3491,"COND.1.6"
3504,"COND.1.6"
3508,"COND.1.6"
3518,"COND.1.6"
3519,"COND.1.2"
3522,"COND.1.1"
3523,"COND.1.5"
3525,"COND.1.5"
3528,"COND.2.1"
3542,"COND.1.6"
3550,"COND.2.1"
3557,"COND.2.1"
3562,"COND.1.6"
3568,"COND.1.6"
3569,"COND.1.1"
3575,"COND.1.6"
3577,"COND.1.6"
3578,"COND.2.1"
3582,"COND.1.6"
3589,"COND.1.6"
3591,"COND.1.6"
3596,"COND.1.6"
3597,"COND.1.6"
3600,"COND.1.6"
3601,"COND.1.6"
3602,"COND.1.6"
3606,"COND.1.6"
3614,"COND.1.6"
3622,"COND.1.6"
3625,"COND.1.6"
3626,"COND.1.6"
3627,"COND.1.6"
3631,"COND.2.1"
3632,"COND.1.6"
3637,"COND.1.6"
3638,"COND.1.6"
3641,"COND.1.6"
3654,"COND.2.1"
3657,"COND.1.6"
3661,"COND.1.1"
3663,"COND.1.6"
3666,"COND.2.1"
3672,"COND.1.6"
3686,"COND.1.6"
3688,"COND.1.6"
3689,"COND.1.6"
3695,"COND.1.6"
3701,"COND.1.6"
3702,"COND.1.6"
3704,"COND.1.6"
3705,"COND.1.6"
3707,"COND.1.6"
3709,"COND.1.6"
3711,"COND.1.6"
3716,"COND.1.6"
3719,"COND.1.5"
3720,"COND.1.5"
3722,"COND.2.2"
3738,"COND.1.6"
3740,"COND.1.6"
3742,"COND.1.6"
3746,"COND.1.6"
3747,"COND.1.6"
3758,"COND.1.6"
3764,"COND.1.6"
3767,"COND.1.5"
3773,"COND.2.2"
3775,"COND.1.6"
3785,"COND.1.5"
3786,"COND.1.6"
3800,"COND.1.6"
3802,"COND.1.6"
3809,"COND.2.1"
3811,"COND.1.6"
3815,"COND.1.6"
3816,"COND.1.6"
3817,"COND.1.6"
3827,"COND.1.6"
3829,"COND.1.6"
3830,"COND.1.6"
3837,"COND.1.6"
3839,"COND.1.6"
3842,"COND.2.1"
3843,"COND.1.6"
3845,"COND.1.6"
3848,"COND.1.6"
3849,"COND.1.6"
3854,"COND.1.6"
3861,"COND.1.6"
3869,"COND.1.6"
3873,"COND.1.6"
3878,"COND.1.6"
3880,"COND.1.6"
3888,"COND.1.6"
3910,"COND.2.1"
3914,"COND.1.6"
3918,"COND.1.6"
3931,"COND.1.5"
3941,"COND.1.6"
3944,"COND.1.6"
3950,"COND.1.6"
3952,"COND.1.6"
3953,"COND.1.6"
3955,"COND.1.6"
3957,"COND.1.6"
3958,"COND.2.2"
3960,"COND.1.6"
3965,"COND.1.6"
3970,"COND.2.1"
3972,"COND.1.6"
3976,"COND.1.6"
3983,"COND.1.6"
3998,"COND.1.6"
4007,"COND.1.6"
4008,"COND.2.1"
4011,"COND.1.6"
4013,"COND.1.6"
4020,"COND.1.6"
4023,"COND.1.6"
4034,"COND.2.2"
4036,"COND.1.6"
4043,"COND.2.2"
4053,"COND.1.6"
4063,"COND.1.6"
4074,"COND.1.6"
4075,"COND.1.5"
4084,"COND.1.6"
4087,"COND.1.6"
4092,"COND.2.2"
4094,"COND.1.6"
4096,"COND.1.6"
4099,"COND.1.6"
4102,"COND.1.6"
4105,"COND.1.6"
4111,"COND.1.6"
4120,"COND.2.1"
4124,"COND.1.6"
4134,"COND.1.6"
4135,"COND.1.6"
4137,"COND.1.6"
4138,"COND.1.3"
4142,"COND.1.6"
4149,"COND.1.6"
4150,"COND.1.6"
4154,"COND.1.6"
4158,"COND.1.6"
4162,"COND.1.6"
4171,"COND.1.6"
4178,"COND.1.6"
4182,"COND.1.6"
4190,"COND.1.5"
4194,"COND.2.2"
4198,"COND.1.6"
4199,"COND.1.6"
4214,"COND.1.6"
4217,"COND.2.1"
4222,"COND.1.6"
4225,"COND.2.1"
4230,"COND.1.6"
4232,"COND.1.6"
4235,"COND.1.6"
4236,"COND.1.6"
4237,"COND.1.6"
4244,"COND.1.6"
4249,"COND.1.6"
4257,"COND.1.6"
4262,"COND.2.1"
4266,"COND.1.6"
4269,"COND.1.6"
4273,"COND.1.5"
4274,"COND.1.6"
4276,"COND.1.2"
4277,"COND.2.1"
4279,"COND.1.6"
4281,"COND.1.6"
4283,"COND.2.1"
4284,"COND.1.6"
4287,"COND.1.6"
4291,"COND.1.6"
4298,"COND.1.6"
4300,"COND.1.6"
4305,"COND.1.6"
4308,"COND.1.6"
4316,"COND.1.6"
4322,"COND.2.1"
4326,"COND.1.6"
4327,"COND.1.6"
4329,"COND.2.2"
4339,"COND.1.6"
4340,"COND.2.2"
4343,"COND.1.6"
4347,"COND.1.6"
4352,"COND.1.6"
4354,"COND.1.6"
4360,"COND.1.6"
4362,"COND.1.6"
4363,"COND.1.6"
4372,"COND.1.6"
4376,"COND.2.2"
4381,"COND.1.6"
4382,"COND.1.6"
4383,"COND.1.1"
4386,"COND.1.6"
4388,"COND.2.2"
4398,"COND.1.6"
4403,"COND.1.6"
4410,"COND.1.5"
4412,"COND.1.6"
4415,"COND.1.6"
4432,"COND.1.6"
4433,"COND.1.6"
4440,"COND.1.6"
4441,"COND.1.3"
4442,"COND.1.6"
4450,"COND.2.1"
4453,"COND.1.6"
4454,"COND.1.6"
4468,"COND.1.6"
4493,"COND.1.6"
4496,"COND.1.6"
4499,"COND.1.5"
4501,"COND.1.6"
4503,"COND.1.6"
4510,"COND.2.1"
4512,"COND.2.1"
4523,"COND.1.6"
4524,"COND.1.6"
4533,"COND.1.6"
4537,"COND.2.1"
4539,"COND.1.6"
4541,"COND.2.1"
4546,"COND.1.6"
4556,"COND.1.6"
4557,"COND.2.1"
4560,"COND.2.1"
4562,"COND.1.6"
4567,"COND.1.6"
4569,"COND.1.6"
4570,"COND.1.5"
4573,"COND.2.1"
4575,"COND.2.2"
4580,"COND.1.6"
4581,"COND.1.6"
4582,"COND.1.6"
4596,"COND.1.6"
4598,"COND.1.6"
4602,"COND.1.6"
4605,"COND.1.6"
4611,"COND.1.6"
4612,"COND.1.6"
4615,"COND.2.1"
4618,"COND.1.5"
4627,"COND.1.6"
4631,"COND.2.1"
4638,"COND.1.6"
4641,"COND.1.6"
4652,"COND.1.6"
4653,"COND.1.5"
4656,"COND.1.5"
4657,"COND.1.6"
4665,"COND.1.6"
4669,"COND.1.6"
4675,"COND.1.6"
4692,"COND.1.5"
4695,"COND.1.5"
4697,"COND.1.5"
4699,"COND.1.6"
4705,"COND.1.6"
4711,"COND.1.6"
4720,"COND.1.6"
4722,"COND.1.6"
4723,"COND.1.6"
4725,"COND.1.6"
4735,"COND.1.5"
4737,"COND.1.6"
4744,"COND.1.6"
4745,"COND.1.5"
4748,"COND.1.6"
4749,"COND.1.6"
4760,"COND.1.6"
4763,"COND.2.1"
4764,"COND.1.6"
4766,"COND.1.6"
4767,"COND.1.6"
4768,"COND.1.6"
4769,"COND.2.1"
4770,"COND.1.6"
4778,"COND.2.1"
4780,"COND.1.5"
4784,"COND.1.6"
4787,"COND.1.5"
4790,"COND.1.6"
4803,"COND.1.6"
4804,"COND.2.2"
4805,"COND.1.6"
4807,"COND.2.1"
4811,"COND.1.3"
4818,"COND.1.6"
4828,"COND.1.6"
4830,"COND.1.6"
4847,"COND.1.3"
4851,"COND.1.6"
4859,"COND.1.6"
4862,"COND.1.6"
4866,"COND.2.2"
4868,"COND.1.6"
4871,"COND.1.6"
4878,"COND.1.6"
4882,"COND.1.6"
4885,"COND.1.6"
4888,"COND.1.6"
4902,"COND.1.6"
4903,"COND.1.6"
4910,"COND.1.6"
4914,"COND.1.6"
4920,"COND.1.1"
4922,"COND.1.6"
4923,"COND.1.6"
4935,"COND.1.6"
4937,"COND.2.1"
4940,"COND.1.5"
4942,"COND.1.6"
4944,"COND.1.6"
4945,"COND.1.6"
4948,"COND.1.6"
4957,"COND.1.6"
4961,"COND.2.1"
4969,"COND.1.6"
4970,"COND.1.6"
4971,"COND.1.6"
4972,"COND.2.2"
4975,"COND.1.5"
4978,"COND.1.6"
4981,"COND.1.6"
4986,"COND.1.6"
4989,"COND.1.6"
4995,"COND.1.6"
4996,"COND.1.1"
4997,"COND.1.6"
4998,"COND.1.6"
4999,"COND.1.6"
5000,"COND.1.6"
5004,"COND.1.5"
5010,"COND.1.5"
5017,"COND.1.6"
5018,"COND.1.5"
5021,"COND.2.1"
5035,"COND.1.6"
5037,"COND.1.6"
5044,"COND.1.6"
5049,"COND.1.6"
5050,"COND.1.6"
5052,"COND.1.6"
5056,"COND.1.6"
5064,"COND.1.6"
5071,"COND.1.6"
5072,"COND.1.6"
5077,"COND.1.6"
5094,"COND.1.6"
5100,"COND.1.6"
5101,"COND.1.6"
5109,"COND.1.5"
5115,"COND.1.6"
5116,"COND.1.2"
5117,"COND.2.2"
5119,"COND.1.5"
5124,"COND.1.6"
5125,"COND.1.5"
5130,"COND.1.1"
5138,"COND.1.6"
5139,"COND.1.6"
5148,"COND.1.6"
