"Id","insee_code","is_student","OCCUPATION_42","ACTIVITY_TYPE","AGE_2019","household","Highest_degree","sex","target"
81,"01033",TRUE,"csp_8_4","TYPE2|2",19,"TYPMR4-1","edu.1.2","Male","B"
82,"01033",TRUE,"csp_8_5","TYPE2|2",15,"TYPMR4-1","edu.3","Male","B"
83,"01033",FALSE,"csp_8_5","TYPE2|4",42,"TYPMR4-2","edu.1.8","Female","B"
84,"01033",FALSE,"csp_8_5","TYPE2|5",24,"TYPMR1-1","edu.1.4","Male","B"
85,"01033",FALSE,"csp_6_7","TYPE1|2",46,"TYPMR4-3","edu.1.3","Male","B"
86,"01033",FALSE,"csp_7_2","TYPE2|1",83,"TYPMR4-4","edu.1.1","Male","B"
87,"01033",FALSE,"csp_4_6","TYPE1|1",37,"TYPMR4-1","edu.1.6","Male","G"
88,"01033",FALSE,"csp_7_8","TYPE2|1",68,"TYPMR4-4","edu.1.3","Female","B"
89,"01033",TRUE,"csp_8_4","TYPE2|2",15,"TYPMR3-1","edu.1.2","Male","B"
93,"01033",FALSE,"csp_3_3","TYPE1|1",43,"TYPMR4-1","edu.1.8","Female","G"
94,"01033",FALSE,"csp_7_7","TYPE2|1",89,"TYPMR1-2","edu.1.4","Female","B"
95,"01034",FALSE,"csp_5_5","TYPE1|1",28,"TYPMR4-2","edu.1.5","Male","G"
100,"01034",FALSE,"csp_3_7","TYPE1|1",49,"TYPMR4-1","edu.1.8","Male","G"
101,"01034",FALSE,"csp_6_2","TYPE1|1",33,"TYPMR4-1","edu.1.5","Male","B"
103,"01034",FALSE,"csp_8_5","TYPE2|5",30,"TYPMR4-4","edu.1.3","Female","G"
104,"01034",FALSE,"csp_4_2","TYPE1|1",42,"TYPMR4-3","edu.1.4","Female","B"
105,"01034",TRUE,"csp_5_6","TYPE1|1",35,"TYPMR4-3","edu.1.2","Female","G"
107,"01034",FALSE,"csp_3_8","TYPE1|1",38,"TYPMR4-1","edu.1.6","Male","B"
109,"01034",FALSE,"csp_3_7","TYPE1|1",33,"TYPMR4-2","edu.1.3","Male","G"
112,"01034",FALSE,"csp_7_5","TYPE2|1",72,"TYPMR1-2","edu.1.3","Female","B"
113,"01035",FALSE,"csp_4_7","TYPE1|1",34,"TYPMR4-1","edu.1.4","Male","G"
116,"01040",FALSE,"csp_7_8","TYPE2|1",72,"TYPMR4-4","edu.1.3","Female","B"
117,"01043",FALSE,"csp_7_5","TYPE2|1",78,"TYPMR2-0","edu.1.3","Female","B"
118,"01043",TRUE,"csp_8_5","TYPE2|5",46,"TYPMR4-2","edu.1.5","Female","B"
120,"01043",FALSE,"csp_6_8","TYPE1|1",22,"TYPMR4-1","edu.1.6","Female","B"
121,"01043",FALSE,"csp_7_7","TYPE2|1",66,"TYPMR4-4","edu.1.1","Female","B"
122,"01043",FALSE,"csp_6_3","TYPE1|1",29,"TYPMR4-1","edu.1.3","Male","G"
123,"01043",FALSE,"csp_7_8","TYPE2|1",82,"TYPMR3-1","edu.1.1","Male","B"
125,"01044",FALSE,"csp_6_4","TYPE1|1",35,"TYPMR4-1","edu.1.3","Female","B"
127,"01047",FALSE,"csp_3_7","TYPE1|1",45,"TYPMR4-1","edu.1.7","Male","B"
128,"01049",FALSE,"csp_7_5","TYPE2|1",76,"TYPMR1-2","edu.1.6","Female","B"
129,"01049",TRUE,"csp_8_5","TYPE2|2",16,"TYPMR4-1","edu.3","Male","B"
130,"01049",TRUE,"csp_8_4","TYPE2|2",19,"TYPMR4-1","edu.1.2","Male","B"
131,"01051",FALSE,"csp_8_5","TYPE2|5",33,"TYPMR4-2","edu.1.4","Female","G"
132,"01053",FALSE,"csp_3_3","TYPE1|1",59,"TYPMR3-2","edu.1.4","Female","B"
135,"01053",FALSE,"csp_3_8","TYPE1|1",37,"TYPMR4-1","edu.1.8","Male","B"
136,"01053",FALSE,"csp_7_7","TYPE2|1",91,"TYPMR1-2","edu.1.1","Female","B"
137,"01053",FALSE,"csp_4_3","TYPE1|1",45,"TYPMR4-1","edu.1.6","Female","B"
138,"01053",FALSE,"csp_4_5","TYPE1|1",37,"TYPMR4-1","edu.1.4","Male","B"
139,"01053",FALSE,"csp_7_7","TYPE2|1",92,"TYPMR4-4","edu.1","Female","B"
140,"01053",FALSE,"csp_4_3","TYPE1|1",36,"TYPMR4-1","edu.1.7","Female","B"
142,"01053",FALSE,"csp_4_6","TYPE1|2",28,"TYPMR4-1","edu.1.7","Male","B"
143,"01053",FALSE,"csp_4_6","TYPE1|2",25,"TYPMR4-2","edu.1.5","Female","B"
144,"01053",FALSE,"csp_4_6","TYPE1|1",55,"TYPMR1-2","edu.1.3","Female","B"
145,"01053",FALSE,"csp_6_5","TYPE1|1",47,"TYPMR3-1","edu.1.3","Male","B"
148,"01053",FALSE,"csp_8_6","TYPE2|5",80,"TYPMR1-1","edu.1.3","Male","B"
150,"01053",FALSE,"csp_8_6","TYPE2|5",98,"TYPMR1-2","edu.1.4","Female","B"
153,"01053",FALSE,"csp_6_4","TYPE1|1",65,"TYPMR4-1","edu.1.3","Male","B"
157,"01053",FALSE,"csp_4_6","TYPE1|1",60,"TYPMR1-2","edu.1.6","Female","G"
160,"01053",FALSE,"csp_8_5","TYPE2|5",46,"TYPMR1-1","edu.3","Male","B"
161,"01053",FALSE,"csp_8_5","TYPE2|4",34,"TYPMR4-2","edu.3","Female","B"
165,"01053",FALSE,"csp_2_3","TYPE1|1",38,"TYPMR4-1","edu.1.8","Male","B"
166,"01053",FALSE,"csp_7_2","TYPE2|1",83,"TYPMR4-4","edu.1.3","Male","B"
167,"01053",FALSE,"csp_7_8","TYPE2|1",69,"TYPMR4-4","edu.1.1","Male","B"
169,"01053",FALSE,"csp_4_2","TYPE1|1",25,"TYPMR4-1","edu.1.8","Female","B"
172,"01053",FALSE,"csp_8_5","TYPE2|5",57,"TYPMR4-3","edu.1.4","Male","B"
173,"01053",FALSE,"csp_3_8","TYPE1|1",51,"TYPMR1-1","edu.1.7","Male","G"
174,"01053",FALSE,"csp_7_8","TYPE2|1",78,"TYPMR4-4","edu.1","Male","B"
176,"01053",FALSE,"csp_6_7","TYPE1|1",28,"TYPMR4-1","edu.1.5","Male","G"
179,"01053",FALSE,"csp_4_3","TYPE1|1",49,"TYPMR4-1","edu.1.7","Female","B"
180,"01053",FALSE,"csp_6_2","TYPE1|1",51,"TYPMR4-2","edu.1.3","Male","G"
181,"01053",FALSE,"csp_7_7","TYPE2|1",72,"TYPMR4-4","edu.1.3","Male","B"
182,"01053",FALSE,"csp_3_4","TYPE1|1",47,"TYPMR4-1","edu.1.9","Male","G"
184,"01053",FALSE,"csp_5_6","TYPE1|2",39,"TYPMR4-4","edu.3","Male","G"
185,"01053",FALSE,"csp_4_3","TYPE1|1",57,"TYPMR4-1","edu.1.3","Female","B"
188,"01054",TRUE,"csp_8_4","TYPE2|2",16,"TYPMR4-1","edu.1.2","Female","B"
189,"01054",FALSE,"csp_3_7","TYPE1|1",61,"TYPMR4-1","edu.1.5","Male","G"
190,"01054",FALSE,"csp_7_7","TYPE2|1",76,"TYPMR4-4","edu.1.3","Male","B"
194,"01058",FALSE,"csp_6_8","TYPE1|1",57,"TYPMR4-1","edu.1.3","Female","B"
198,"01064",FALSE,"csp_7_5","TYPE2|1",89,"TYPMR4-4","edu.1.1","Female","B"
202,"01069",FALSE,"csp_6_7","TYPE1|1",27,"TYPMR1-2","edu.1.3","Female","G"
205,"01071",FALSE,"csp_7_1","TYPE2|1",73,"TYPMR1-2","edu.1.2","Female","B"
206,"01071",FALSE,"csp_7_4","TYPE2|1",83,"TYPMR4-4","edu.1.1","Male","B"
208,"01071",TRUE,"csp_8_4","TYPE2|2",23,"TYPMR4-1","edu.1.4","Male","B"
210,"01072",FALSE,"csp_6_9","TYPE1|1",34,"TYPMR4-1","edu.1.6","Male","G"
212,"01073",FALSE,"csp_1_1","TYPE1|1",56,"TYPMR4-1","edu.1.3","Male","G"
214,"01074",FALSE,"csp_6_4","TYPE1|2",33,"TYPMR4-4","edu.2","Male","G"
217,"01074",FALSE,"csp_2_1","TYPE1|1",40,"TYPMR4-1","edu.1.5","Male","B"
218,"01075",FALSE,"csp_7_7","TYPE2|1",97,"TYPMR3-2","edu.2","Female","G"
219,"01077",TRUE,"csp_8_4","TYPE2|2",17,"TYPMR3-2","edu.1.1","Female","B"
221,"01078",FALSE,"csp_5_4","TYPE1|1",30,"TYPMR1-2","edu.1.7","Female","G"
222,"01078",TRUE,"csp_8_4","TYPE2|2",22,"TYPMR3-1","edu.1.4","Female","B"
224,"01079",FALSE,"csp_6_7","TYPE1|1",34,"TYPMR1-2","edu.1.5","Female","G"
227,"01082",TRUE,"csp_8_4","TYPE2|2",18,"TYPMR4-1","edu.1.2","Female","B"
228,"01082",TRUE,"csp_8_5","TYPE2|2",16,"TYPMR4-1","edu.3","Male","B"
234,"01088",FALSE,"csp_6_4","TYPE1|1",68,"TYPMR4-1","edu.1.1","Male","G"
235,"01089",FALSE,"csp_5_6","TYPE1|1",31,"TYPMR4-1","edu.1.7","Female","G"
236,"01089",FALSE,"csp_6_4","TYPE1|1",27,"TYPMR4-2","edu.3","Male","G"
237,"01089",FALSE,"csp_5_2","TYPE1|1",52,"TYPMR3-1","edu.1.3","Male","G"
238,"01089",FALSE,"csp_4_3","TYPE1|1",40,"TYPMR4-1","edu.1.5","Female","B"
239,"01092",FALSE,"csp_3_1","TYPE1|1",54,"TYPMR4-1","edu.1.8","Female","B"
243,"01093",FALSE,"csp_5_4","TYPE1|1",52,"TYPMR4-1","edu.1.3","Female","G"
247,"01093",FALSE,"csp_3_4","TYPE1|1",48,"TYPMR1-2","edu.1.8","Female","G"
250,"01099",TRUE,"csp_8_4","TYPE2|2",20,"TYPMR3-2","edu.3","Female","B"
251,"01099",FALSE,"csp_2_2","TYPE1|1",61,"TYPMR4-1","edu.2","Male","G"
252,"01099",FALSE,"csp_7_5","TYPE2|1",69,"TYPMR1-1","edu.1.5","Male","B"
254,"01102",FALSE,"csp_1_1","TYPE1|1",30,"TYPMR4-1","edu.1.7","Female","G"
255,"01103",FALSE,"csp_7_7","TYPE2|1",69,"TYPMR1-2","edu.1.3","Female","G"
256,"01103",FALSE,"csp_8_5","TYPE2|5",30,"TYPMR4-2","edu.1","Female","G"
259,"01105",FALSE,"csp_2_1","TYPE1|1",80,"TYPMR4-2","edu.1.5","Male","B"
260,"01105",FALSE,"csp_8_5","TYPE2|5",56,"TYPMR1-1","edu.2","Male","B"
264,"01109",FALSE,"csp_6_7","TYPE1|1",40,"TYPMR4-2","edu.1.3","Male","B"
267,"01113",FALSE,"csp_7_4","TYPE2|1",70,"TYPMR4-4","edu.1.3","Male","B"
269,"01114",FALSE,"csp_7_7","TYPE2|1",64,"TYPMR4-4","edu.1.3","Female","B"
270,"01114",FALSE,"csp_7_7","TYPE2|1",73,"TYPMR1-2","edu.1.2","Female","G"
272,"01115",FALSE,"csp_7_8","TYPE2|1",86,"TYPMR1-2","edu.3","Female","G"
273,"01116",FALSE,"csp_6_7","TYPE1|1",59,"TYPMR4-1","edu.1.3","Male","G"
274,"01118",FALSE,"csp_5_4","TYPE1|1",55,"TYPMR3-2","edu.1.3","Female","G"
275,"01124",FALSE,"csp_7_2","TYPE2|1",80,"TYPMR1-1","edu.1","Male","B"
277,"01124",FALSE,"csp_7_4","TYPE2|1",67,"TYPMR4-4","edu.1.6","Male","B"
278,"01125",FALSE,"csp_7_2","TYPE2|1",65,"TYPMR1-1","edu.1.3","Male","B"
279,"01125",FALSE,"csp_3_1","TYPE1|1",49,"TYPMR4-1","edu.1.8","Female","B"
285,"01134",FALSE,"csp_3_7","TYPE1|1",54,"TYPMR4-2","edu.1.3","Male","G"
287,"01134",FALSE,"csp_7_5","TYPE2|1",93,"TYPMR4-4","edu.1.8","Female","B"
289,"01136",FALSE,"csp_7_5","TYPE2|1",64,"TYPMR4-4","edu.1.3","Female","B"
290,"01136",FALSE,"csp_3_4","TYPE1|1",30,"TYPMR2-0","edu.1.8","Female","B"
291,"01136",FALSE,"csp_7_7","TYPE2|1",83,"TYPMR1-2","edu.2","Female","G"
295,"01138",FALSE,"csp_3_5","TYPE1|1",40,"TYPMR4-1","edu.1.8","Male","G"
298,"01140",FALSE,"csp_4_2","TYPE1|1",55,"TYPMR3-2","edu.1.8","Female","B"
302,"01142",FALSE,"csp_5_4","TYPE1|1",26,"TYPMR3-2","edu.1.7","Male","G"
305,"01142",FALSE,"csp_7_7","TYPE2|1",61,"TYPMR4-3","edu.3","Male","B"
307,"01142",FALSE,"csp_7_5","TYPE2|1",67,"TYPMR4-4","edu.1.7","Male","G"
309,"01143",FALSE,"csp_7_8","TYPE2|1",60,"TYPMR4-4","edu.1.3","Male","G"
310,"01143",FALSE,"csp_8_5","TYPE2|5",60,"TYPMR4-3","edu.3","Male","B"
314,"01143",FALSE,"csp_4_2","TYPE1|2",60,"TYPMR4-3","edu.1.6","Male","B"
315,"01143",FALSE,"csp_7_2","TYPE2|1",74,"TYPMR4-4","edu.1.3","Male","B"
317,"01143",FALSE,"csp_5_2","TYPE1|1",29,"TYPMR4-1","edu.1.4","Female","G"
318,"01143",TRUE,"csp_8_4","TYPE2|2",23,"TYPMR3-2","edu.1.5","Female","B"
319,"01143",FALSE,"csp_6_4","TYPE1|1",57,"TYPMR1-1","edu.3","Male","B"
321,"01143",FALSE,"csp_7_4","TYPE2|1",69,"TYPMR4-4","edu.1.7","Female","B"
322,"01143",FALSE,"csp_6_3","TYPE1|1",29,"TYPMR4-1","edu.1.3","Male","G"
323,"01143",FALSE,"csp_7_7","TYPE2|1",74,"TYPMR1-2","edu.1.1","Female","G"
327,"01145",FALSE,"csp_7_8","TYPE2|1",92,"TYPMR1-2","edu.1.1","Female","G"
328,"01148",FALSE,"csp_8_5","TYPE2|5",61,"TYPMR3-2","edu.1","Female","G"
329,"01148",FALSE,"csp_8_5","TYPE2|5",41,"TYPMR1-1","edu.1.1","Male","B"
331,"01148",FALSE,"csp_4_2","TYPE1|1",44,"TYPMR4-1","edu.1.6","Female","B"
333,"01151",FALSE,"csp_7_7","TYPE2|1",69,"TYPMR4-3","edu.1.1","Male","B"
336,"01153",FALSE,"csp_3_3","TYPE1|1",52,"TYPMR1-1","edu.1.3","Male","G"
338,"01157",FALSE,"csp_4_6","TYPE1|1",52,"TYPMR4-1","edu.1.2","Male","G"
339,"01157",FALSE,"csp_6_7","TYPE1|1",40,"TYPMR4-1","edu.1.3","Female","B"
341,"01157",FALSE,"csp_5_3","TYPE1|1",36,"TYPMR4-1","edu.1.5","Male","G"
344,"01158",FALSE,"csp_7_5","TYPE2|1",81,"TYPMR1-2","edu.1.4","Female","G"
348,"01159",FALSE,"csp_6_4","TYPE1|1",57,"TYPMR4-3","edu.1.3","Female","G"
353,"01160",FALSE,"csp_5_5","TYPE1|1",35,"TYPMR1-1","edu.1.4","Male","G"
354,"01160",FALSE,"csp_6_7","TYPE1|1",26,"TYPMR1-1","edu.1.4","Male","B"
355,"01160",FALSE,"csp_6_2","TYPE1|1",49,"TYPMR4-1","edu.1.6","Male","B"
357,"01160",FALSE,"csp_4_3","TYPE1|1",28,"TYPMR4-1","edu.1.7","Female","G"
360,"01160",FALSE,"csp_6_4","TYPE1|1",57,"TYPMR4-3","edu.1.3","Female","G"
362,"01163",TRUE,"csp_8_4","TYPE2|2",20,"TYPMR1-1","edu.1.5","Male","B"
363,"01163",FALSE,"csp_5_6","TYPE1|1",40,"TYPMR4-1","edu.1.3","Male","G"
367,"01165",FALSE,"csp_7_8","TYPE2|1",69,"TYPMR4-4","edu.2","Female","B"
368,"01165",FALSE,"csp_7_8","TYPE2|1",67,"TYPMR2-0","edu.3","Male","B"
369,"01166",FALSE,"csp_3_1","TYPE1|1",48,"TYPMR4-1","edu.1.7","Male","G"
373,"01170",FALSE,"csp_7_4","TYPE2|1",64,"TYPMR4-4","edu.1.6","Female","B"
378,"01173",FALSE,"csp_5_5","TYPE1|1",25,"TYPMR4-1","edu.1.3","Female","G"
379,"01173",FALSE,"csp_4_2","TYPE1|1",57,"TYPMR4-2","edu.1.4","Male","B"
380,"01173",FALSE,"csp_7_7","TYPE2|1",66,"TYPMR4-4","edu.1.2","Female","B"
381,"01173",FALSE,"csp_7_8","TYPE2|1",93,"TYPMR1-2","edu.1.4","Female","B"
383,"01173",FALSE,"csp_7_7","TYPE2|1",92,"TYPMR4-4","edu.1.1","Male","B"
387,"01173",FALSE,"csp_6_3","TYPE1|1",35,"TYPMR3-2","edu.1.4","Male","G"
388,"01173",FALSE,"csp_6_9","TYPE1|2",45,"TYPMR4-2","edu.1.3","Female","G"
389,"01173",FALSE,"csp_7_5","TYPE2|1",67,"TYPMR1-2","edu.1.1","Female","B"
390,"01175",FALSE,"csp_7_8","TYPE2|1",84,"TYPMR4-4","edu.1.1","Male","B"
391,"01175",FALSE,"csp_4_3","TYPE1|1",47,"TYPMR4-1","edu.1.7","Female","B"
392,"01179",FALSE,"csp_2_1","TYPE1|1",33,"TYPMR1-1","edu.1.3","Male","G"
393,"01179",TRUE,"csp_8_4","TYPE2|2",24,"TYPMR4-1","edu.1.7","Female","B"
396,"01181",FALSE,"csp_8_5","TYPE2|4",59,"TYPMR4-4","edu.3","Female","B"
397,"01181",FALSE,"csp_7_7","TYPE2|1",69,"TYPMR4-4","edu.1.1","Female","B"
399,"01183",FALSE,"csp_7_8","TYPE2|1",67,"TYPMR1-1","edu.1.1","Male","B"
404,"01185",FALSE,"csp_5_2","TYPE1|1",48,"TYPMR4-1","edu.1.5","Female","B"
405,"01185",FALSE,"csp_6_5","TYPE1|1",55,"TYPMR4-1","edu.1.3","Male","G"
406,"01185",FALSE,"csp_4_2","TYPE1|1",35,"TYPMR1-2","edu.1.7","Female","G"
407,"01185",FALSE,"csp_7_4","TYPE2|1",77,"TYPMR4-4","edu.1.4","Male","B"
408,"01185",FALSE,"csp_6_5","TYPE1|2",41,"TYPMR4-4","edu.2","Male","G"
409,"01185",TRUE,"csp_8_5","TYPE2|2",15,"TYPMR4-1","edu.3","Male","B"
410,"01188",FALSE,"csp_7_4","TYPE2|1",65,"TYPMR1-1","edu.1.7","Male","B"
414,"01192",TRUE,"csp_3_4","TYPE1|1",27,"TYPMR1-1","edu.1.9","Male","G"
416,"01194",FALSE,"csp_7_7","TYPE2|1",84,"TYPMR2-0","edu.1.3","Female","B"
420,"01194",FALSE,"csp_2_1","TYPE1|1",49,"TYPMR3-1","edu.1.3","Male","G"
425,"01196",FALSE,"csp_4_6","TYPE1|1",36,"TYPMR4-1","edu.1.7","Female","G"
427,"01199",FALSE,"csp_4_3","TYPE1|2",41,"TYPMR4-2","edu.1.7","Female","G"
429,"01199",FALSE,"csp_4_3","TYPE1|1",45,"TYPMR4-1","edu.1.6","Female","B"
430,"01199",FALSE,"csp_6_2","TYPE1|1",53,"TYPMR4-1","edu.1.3","Male","B"
431,"01202",FALSE,"csp_4_6","TYPE1|2",41,"TYPMR3-2","edu.1.4","Female","G"
432,"01202",FALSE,"csp_5_4","TYPE1|2",46,"TYPMR1-1","edu.1.9","Male","G"
433,"01202",FALSE,"csp_6_4","TYPE1|2",26,"TYPMR4-1","edu.1.6","Male","B"
437,"01202",FALSE,"csp_2_1","TYPE1|1",38,"TYPMR4-2","edu.1","Male","G"
438,"01202",FALSE,"csp_5_6","TYPE1|2",37,"TYPMR4-4","edu.1.3","Male","G"
439,"01202",FALSE,"csp_7_1","TYPE2|1",73,"TYPMR1-1","edu.2","Male","B"
445,"01204",FALSE,"csp_8_6","TYPE2|4",61,"TYPMR4-4","edu.2","Female","B"
446,"01204",FALSE,"csp_8_5","TYPE2|4",30,"TYPMR4-4","edu.1.4","Male","B"
447,"01209",TRUE,"csp_8_4","TYPE2|2",19,"TYPMR4-1","edu.1.2","Male","B"
448,"01210",FALSE,"csp_6_2","TYPE1|2",44,"TYPMR4-2","edu.1.2","Female","G"
450,"01211",TRUE,"csp_8_4","TYPE2|2",24,"TYPMR1-2","edu.1.7","Female","B"
455,"01213",FALSE,"csp_4_3","TYPE1|1",57,"TYPMR3-2","edu.1.6","Female","B"
462,"01224",FALSE,"csp_5_2","TYPE1|1",43,"TYPMR4-1","edu.1.4","Female","G"
469,"01232",FALSE,"csp_5_2","TYPE1|1",51,"TYPMR1-2","edu.1.6","Female","G"
472,"01232",FALSE,"csp_7_5","TYPE2|1",80,"TYPMR4-3","edu.1.3","Male","B"
473,"01234",TRUE,"csp_8_4","TYPE2|2",25,"TYPMR4-1","edu.1.4","Male","B"
475,"01235",FALSE,"csp_8_5","TYPE2|4",40,"TYPMR4-2","edu.1.4","Female","B"
477,"01236",FALSE,"csp_7_5","TYPE2|1",84,"TYPMR4-4","edu.1.3","Male","B"
479,"01238",TRUE,"csp_4_6","TYPE1|1",29,"TYPMR1-2","edu.1.4","Female","B"
480,"01238",FALSE,"csp_5_6","TYPE1|1",60,"TYPMR4-3","edu.1.3","Female","B"
482,"01238",FALSE,"csp_7_7","TYPE2|1",74,"TYPMR4-4","edu.1.3","Male","B"
488,"01240",FALSE,"csp_4_7","TYPE1|1",37,"TYPMR4-1","edu.1.7","Male","G"
489,"01242",FALSE,"csp_4_7","TYPE1|1",32,"TYPMR1-1","edu.1.6","Male","G"
490,"01243",FALSE,"csp_6_4","TYPE1|1",58,"TYPMR4-2","edu.1.5","Male","G"
494,"01244",FALSE,"csp_8_6","TYPE2|5",95,"TYPMR4-2","edu.1.3","Female","G"
496,"01244",FALSE,"csp_7_7","TYPE2|1",67,"TYPMR4-4","edu.1.3","Female","B"
497,"01244",TRUE,"csp_8_4","TYPE2|2",16,"TYPMR4-1","edu.1.2","Female","B"
498,"01244",FALSE,"csp_5_6","TYPE1|1",55,"TYPMR4-1","edu.1.2","Female","G"
499,"01244",TRUE,"csp_8_4","TYPE2|2",21,"TYPMR1-2","edu.1.5","Female","B"
500,"01244",TRUE,"csp_8_5","TYPE2|5",20,"TYPMR4-1","edu.1.2","Female","B"
504,"01246",TRUE,"csp_8_5","TYPE2|2",15,"TYPMR4-1","edu.3","Male","B"
505,"01246",TRUE,"csp_8_4","TYPE2|2",23,"TYPMR4-1","edu.1.4","Male","B"
509,"01247",FALSE,"csp_5_2","TYPE1|1",53,"TYPMR4-1","edu.1.6","Female","G"
510,"01247",FALSE,"csp_6_9","TYPE1|2",24,"TYPMR3-1","edu.1.2","Male","B"
511,"01248",FALSE,"csp_6_9","TYPE1|2",35,"TYPMR4-4","edu.1.4","Male","G"
512,"01248",FALSE,"csp_7_7","TYPE2|1",91,"TYPMR1-2","edu.1.1","Female","G"
514,"01249",FALSE,"csp_4_6","TYPE1|1",47,"TYPMR4-1","edu.1.3","Male","B"
515,"01249",FALSE,"csp_4_2","TYPE1|1",35,"TYPMR4-1","edu.1.4","Male","G"
516,"01249",TRUE,"csp_8_4","TYPE2|2",23,"TYPMR4-1","edu.1.6","Male","B"
518,"01249",FALSE,"csp_7_7","TYPE2|1",77,"TYPMR4-4","edu.1.5","Female","B"
521,"01249",FALSE,"csp_7_7","TYPE2|1",84,"TYPMR1-2","edu.1.4","Female","B"
524,"01249",FALSE,"csp_7_7","TYPE2|1",67,"TYPMR4-4","edu.1.3","Female","B"
525,"01249",FALSE,"csp_8_6","TYPE2|1",88,"TYPMR4-2","edu.1.1","Female","B"
526,"01249",TRUE,"csp_8_5","TYPE2|2",16,"TYPMR4-1","edu.3","Male","B"
528,"01249",FALSE,"csp_8_5","TYPE2|5",56,"TYPMR1-2","edu.1.3","Female","G"
529,"01249",FALSE,"csp_4_6","TYPE1|1",46,"TYPMR1-2","edu.1.7","Female","G"
530,"01250",FALSE,"csp_5_6","TYPE1|2",46,"TYPMR4-2","edu.1.3","Female","G"
533,"01250",FALSE,"csp_5_2","TYPE1|1",46,"TYPMR1-1","edu.1.6","Male","G"
534,"01254",TRUE,"csp_5_6","TYPE1|1",27,"TYPMR1-1","edu.3","Male","G"
538,"01258",TRUE,"csp_8_4","TYPE2|2",19,"TYPMR2-0","edu.3","Female","B"
539,"01258",FALSE,"csp_7_8","TYPE2|1",79,"TYPMR1-2","edu.1.1","Female","G"
