"Id","Club"
2247,"fede.105"
2248,"fede.109"
2250,"fede.125"
2253,"fede.117"
2254,"fede.106"
2256,"fede.117"
2258,"fede.108"
2261,"fede.117"
2262,"fede.122"
2263,"fede.122"
2268,"fede.109"
2271,"fede.109"
2275,"fede.123"
2286,"fede.110"
2290,"fede.107"
2292,"fede.110"
2293,"fede.110"
2295,"fede.103"
2297,"fede.103"
2302,"fede.103"
2303,"fede.107"
2304,"fede.103"
2320,"fede.109"
2323,"fede.402"
2327,"fede.402"
2336,"fede.111"
2350,"fede.242"
2352,"fede.125"
2354,"fede.111"
2362,"fede.108"
2363,"fede.101"
2364,"fede.101"
2366,"fede.108"
2368,"fede.233"
2369,"fede.102"
2371,"fede.102"
2376,"fede.102"
2380,"fede.101"
2382,"fede.233"
2383,"fede.108"
2387,"fede.101"
2389,"fede.101"
2390,"fede.233"
2421,"fede.102"
2425,"fede.119"
2429,"fede.105"
2433,"fede.118"
2435,"fede.121"
2437,"fede.108"
2440,"fede.106"
2444,"fede.105"
2449,"fede.102"
2451,"fede.106"
2454,"fede.102"
2456,"fede.126"
2457,"fede.245"
2465,"fede.125"
2495,"fede.101"
2524,"fede.134"
2536,"fede.111"
2538,"fede.402"
2560,"fede.401"
2582,"fede.121"
2595,"fede.404"
2597,"fede.604"
2598,"fede.404"
2603,"fede.109"
2608,"fede.109"
2609,"fede.101"
2610,"fede.109"
2611,"fede.113"
2612,"fede.113"
2613,"fede.105"
2614,"fede.101"
2621,"fede.101"
2636,"fede.604"
2645,"fede.221"
2649,"fede.201"
2651,"fede.420"
2654,"fede.131"
2656,"fede.107"
2657,"fede.107"
2659,"fede.110"
2664,"fede.112"
2665,"fede.112"
2666,"fede.108"
2668,"fede.101"
2670,"fede.112"
2672,"fede.112"
2673,"fede.107"
2678,"fede.107"
2679,"fede.107"
2680,"fede.108"
2681,"fede.105"
2685,"fede.101"
2686,"fede.101"
2688,"fede.112"
2689,"fede.112"
2690,"fede.107"
2691,"fede.122"
2692,"fede.107"
2694,"fede.107"
2697,"fede.108"
2698,"fede.108"
2699,"fede.131"
2701,"fede.122"
2703,"fede.122"
2704,"fede.101"
2705,"fede.105"
2707,"fede.107"
2708,"fede.112"
2709,"fede.101"
2712,"fede.131"
2713,"fede.107"
2717,"fede.131"
2719,"fede.107"
2725,"fede.107"
2733,"fede.242"
2735,"fede.121"
2739,"fede.121"
2741,"fede.132"
2745,"fede.211"
2757,"fede.127"
2762,"fede.401"
2770,"fede.132"
2780,"fede.109"
2800,"fede.206"
2818,"fede.112"
2819,"fede.138"
2821,"fede.106"
2828,"fede.102"
2829,"fede.122"
2831,"fede.114"
2832,"fede.112"
2835,"fede.101"
2838,"fede.102"
2839,"fede.112"
2841,"fede.138"
2842,"fede.138"
2844,"fede.101"
2845,"fede.138"
2846,"fede.102"
2847,"fede.110"
2851,"fede.110"
2853,"fede.102"
2856,"fede.122"
2861,"fede.114"
2862,"fede.108"
2865,"fede.101"
2866,"fede.110"
2868,"fede.102"
2869,"fede.112"
2873,"fede.102"
2874,"fede.102"
2876,"fede.138"
2879,"fede.101"
2881,"fede.138"
2883,"fede.112"
2885,"fede.102"
2886,"fede.138"
2888,"fede.138"
2889,"fede.112"
2893,"fede.102"
2895,"fede.110"
2896,"fede.110"
2897,"fede.101"
2898,"fede.106"
2899,"fede.122"
2900,"fede.101"
2901,"fede.112"
2904,"fede.138"
2906,"fede.138"
2908,"fede.106"
2909,"fede.112"
2911,"fede.110"
2913,"fede.110"
2914,"fede.106"
2915,"fede.101"
2917,"fede.110"
2919,"fede.110"
2922,"fede.102"
2937,"fede.133"
2943,"fede.115"
2946,"fede.106"
2949,"fede.103"
2950,"fede.103"
2951,"fede.106"
2952,"fede.109"
2953,"fede.106"
2954,"fede.103"
2957,"fede.103"
2980,"fede.102"
2982,"fede.102"
3007,"fede.107"
3008,"fede.106"
3009,"fede.110"
3011,"fede.103"
3012,"fede.106"
3015,"fede.103"
3016,"fede.107"
3018,"fede.102"
3021,"fede.102"
3024,"fede.114"
3029,"fede.107"
3031,"fede.110"
3032,"fede.102"
3033,"fede.102"
3035,"fede.103"
3040,"fede.103"
3043,"fede.106"
3049,"fede.106"
3050,"fede.103"
3052,"fede.103"
3056,"fede.107"
3058,"fede.106"
3059,"fede.103"
3060,"fede.102"
3061,"fede.106"
3062,"fede.107"
3063,"fede.102"
3065,"fede.106"
3069,"fede.107"
3071,"fede.103"
3072,"fede.107"
3073,"fede.101"
3074,"fede.114"
3075,"fede.107"
3076,"fede.101"
3078,"fede.102"
3079,"fede.102"
3080,"fede.102"
3081,"fede.110"
3082,"fede.107"
3084,"fede.110"
3086,"fede.110"
3087,"fede.101"
3089,"fede.107"
3090,"fede.106"
3091,"fede.107"
3092,"fede.107"
3095,"fede.106"
3096,"fede.102"
3097,"fede.106"
3098,"fede.108"
3099,"fede.107"
3100,"fede.106"
3101,"fede.113"
3102,"fede.107"
3105,"fede.106"
3107,"fede.105"
3110,"fede.106"
3111,"fede.107"
3112,"fede.106"
3114,"fede.107"
3115,"fede.113"
3116,"fede.106"
3119,"fede.108"
3120,"fede.106"
3121,"fede.113"
3122,"fede.106"
3125,"fede.107"
3127,"fede.106"
3129,"fede.106"
3131,"fede.106"
3132,"fede.107"
3133,"fede.108"
3135,"fede.107"
3138,"fede.111"
3140,"fede.107"
3142,"fede.106"
3143,"fede.107"
3149,"fede.107"
3150,"fede.106"
3152,"fede.107"
3154,"fede.105"
3158,"fede.107"
3159,"fede.106"
3163,"fede.106"
3164,"fede.111"
3169,"fede.106"
3171,"fede.108"
3172,"fede.105"
3173,"fede.106"
3176,"fede.106"
3177,"fede.106"
3178,"fede.106"
3179,"fede.108"
3182,"fede.105"
3184,"fede.107"
3185,"fede.106"
3190,"fede.105"
3191,"fede.107"
3193,"fede.108"
3196,"fede.105"
3201,"fede.110"
3202,"fede.105"
3203,"fede.102"
3204,"fede.106"
3205,"fede.110"
3206,"fede.106"
3210,"fede.105"
3211,"fede.106"
3214,"fede.107"
3215,"fede.105"
3216,"fede.105"
3217,"fede.110"
3218,"fede.102"
3221,"fede.110"
3223,"fede.102"
3224,"fede.105"
3225,"fede.102"
3226,"fede.106"
3228,"fede.105"
3229,"fede.105"
3233,"fede.102"
3241,"fede.106"
3242,"fede.102"
3243,"fede.106"
3244,"fede.105"
3249,"fede.107"
3250,"fede.110"
3253,"fede.110"
3256,"fede.102"
3262,"fede.110"
3263,"fede.110"
3264,"fede.110"
3270,"fede.106"
3274,"fede.109"
3277,"fede.106"
3278,"fede.106"
3289,"fede.109"
3292,"fede.106"
3311,"fede.123"
3314,"fede.125"
3315,"fede.128"
3316,"fede.113"
3317,"fede.128"
3327,"fede.118"
3329,"fede.103"
3345,"fede.109"
3381,"fede.415"
3395,"fede.119"
3401,"fede.123"
3402,"fede.108"
3413,"fede.108"
3417,"fede.116"
3418,"fede.116"
3419,"fede.113"
3420,"fede.107"
3422,"fede.102"
3423,"fede.116"
3424,"fede.113"
3427,"fede.102"
3437,"fede.108"
3440,"fede.106"
3443,"fede.116"
3444,"fede.106"
3446,"fede.107"
3447,"fede.116"
3448,"fede.107"
3450,"fede.122"
3451,"fede.122"
3452,"fede.107"
3455,"fede.113"
3457,"fede.122"
3458,"fede.108"
3459,"fede.110"
3460,"fede.102"
3461,"fede.113"
3462,"fede.116"
3466,"fede.106"
3468,"fede.108"
3469,"fede.108"
3477,"fede.122"
3479,"fede.107"
3480,"fede.109"
3481,"fede.407"
3482,"fede.242"
3493,"fede.103"
3494,"fede.109"
3496,"fede.109"
3498,"fede.109"
3499,"fede.108"
3500,"fede.109"
3503,"fede.101"
3504,"fede.103"
3508,"fede.601"
3509,"fede.109"
3510,"fede.124"
3514,"fede.109"
3518,"fede.106"
3519,"fede.101"
3523,"fede.124"
3525,"fede.108"
3528,"fede.106"
3529,"fede.101"
3534,"fede.124"
3535,"fede.101"
3537,"fede.107"
3538,"fede.107"
3539,"fede.245"
3542,"fede.113"
3550,"fede.107"
3551,"fede.113"
3555,"fede.110"
3556,"fede.107"
3557,"fede.113"
3558,"fede.245"
3559,"fede.245"
3562,"fede.107"
3563,"fede.113"
3564,"fede.103"
3565,"fede.107"
3568,"fede.107"
3569,"fede.113"
3573,"fede.107"
3574,"fede.113"
3575,"fede.107"
3577,"fede.110"
3578,"fede.107"
3579,"fede.107"
3582,"fede.113"
3588,"fede.110"
3589,"fede.133"
3591,"fede.124"
3597,"fede.102"
3598,"fede.102"
3599,"fede.243"
3600,"fede.102"
3602,"fede.102"
3603,"fede.103"
3604,"fede.103"
3606,"fede.113"
3607,"fede.103"
3612,"fede.103"
3614,"fede.105"
3615,"fede.257"
3618,"fede.129"
3621,"fede.121"
3622,"fede.102"
3625,"fede.103"
3626,"fede.117"
3627,"fede.105"
3629,"fede.131"
3631,"fede.228"
3632,"fede.203"
3637,"fede.228"
3638,"fede.103"
3640,"fede.131"
3641,"fede.138"
3642,"fede.108"
3643,"fede.138"
3646,"fede.103"
3647,"fede.105"
3650,"fede.103"
3651,"fede.131"
3653,"fede.103"
3654,"fede.213"
3655,"fede.209"
3657,"fede.213"
3658,"fede.103"
3660,"fede.138"
3661,"fede.209"
3663,"fede.213"
3665,"fede.138"
3666,"fede.203"
3670,"fede.103"
3672,"fede.228"
3673,"fede.108"
3675,"fede.138"
3678,"fede.105"
3680,"fede.105"
3682,"fede.228"
3686,"fede.203"
3688,"fede.131"
3689,"fede.112"
3695,"fede.213"
3696,"fede.103"
3698,"fede.203"
3701,"fede.103"
3702,"fede.228"
3703,"fede.105"
3704,"fede.228"
3705,"fede.209"
3707,"fede.203"
3709,"fede.131"
3710,"fede.103"
3711,"fede.213"
3712,"fede.138"
3713,"fede.138"
3714,"fede.228"
3715,"fede.103"
3716,"fede.228"
3717,"fede.105"
3718,"fede.103"
3719,"fede.213"
3720,"fede.108"
3722,"fede.228"
3725,"fede.105"
3727,"fede.103"
3728,"fede.228"
3734,"fede.105"
3736,"fede.201"
3738,"fede.103"
3740,"fede.213"
3742,"fede.203"
3745,"fede.228"
3746,"fede.131"
3747,"fede.213"
3748,"fede.138"
3749,"fede.108"
3751,"fede.213"
3753,"fede.105"
3755,"fede.203"
3757,"fede.105"
3758,"fede.203"
3761,"fede.131"
3764,"fede.103"
3765,"fede.138"
3767,"fede.203"
3768,"fede.103"
3770,"fede.138"
3771,"fede.203"
3772,"fede.138"
3773,"fede.228"
3775,"fede.138"
3779,"fede.209"
3781,"fede.103"
3784,"fede.112"
3785,"fede.112"
3786,"fede.131"
3787,"fede.138"
3788,"fede.138"
3789,"fede.108"
3794,"fede.108"
3798,"fede.138"
3800,"fede.131"
3802,"fede.203"
3806,"fede.103"
3809,"fede.203"
3811,"fede.131"
3815,"fede.203"
3816,"fede.103"
3817,"fede.131"
3818,"fede.105"
3819,"fede.213"
3822,"fede.105"
3823,"fede.138"
3824,"fede.103"
3827,"fede.112"
3829,"fede.209"
3830,"fede.112"
3833,"fede.138"
3837,"fede.213"
3839,"fede.131"
3840,"fede.103"
3842,"fede.213"
3843,"fede.203"
3845,"fede.138"
3848,"fede.213"
3849,"fede.131"
3850,"fede.103"
3851,"fede.228"
3852,"fede.201"
3854,"fede.213"
3858,"fede.108"
3860,"fede.209"
3861,"fede.203"
3864,"fede.105"
3865,"fede.138"
3869,"fede.209"
3870,"fede.103"
3871,"fede.103"
3873,"fede.213"
3874,"fede.138"
3875,"fede.103"
3876,"fede.138"
3877,"fede.209"
3878,"fede.228"
3879,"fede.112"
3880,"fede.203"
3881,"fede.138"
3883,"fede.138"
3887,"fede.131"
3888,"fede.213"
3889,"fede.138"
3891,"fede.103"
3894,"fede.203"
3898,"fede.103"
3900,"fede.103"
3902,"fede.213"
3904,"fede.105"
3908,"fede.112"
3909,"fede.108"
3910,"fede.203"
3912,"fede.138"
3914,"fede.131"
3916,"fede.108"
3918,"fede.213"
3923,"fede.103"
3925,"fede.108"
3927,"fede.103"
3931,"fede.103"
3937,"fede.103"
3941,"fede.228"
3942,"fede.103"
3944,"fede.203"
3950,"fede.213"
3951,"fede.103"
3952,"fede.228"
3953,"fede.203"
3954,"fede.112"
3955,"fede.213"
3957,"fede.228"
3958,"fede.138"
3960,"fede.112"
3962,"fede.112"
3963,"fede.203"
3965,"fede.213"
3970,"fede.112"
3972,"fede.228"
3973,"fede.103"
3974,"fede.103"
3976,"fede.131"
3977,"fede.103"
3979,"fede.105"
3981,"fede.105"
3983,"fede.228"
3987,"fede.209"
3990,"fede.138"
3991,"fede.201"
3993,"fede.105"
3994,"fede.105"
3996,"fede.105"
3998,"fede.131"
4001,"fede.209"
4005,"fede.108"
4007,"fede.112"
4008,"fede.105"
4011,"fede.131"
4013,"fede.131"
4014,"fede.105"
4015,"fede.138"
4020,"fede.138"
4023,"fede.203"
4024,"fede.105"
4025,"fede.138"
4026,"fede.105"
4027,"fede.105"
4032,"fede.138"
4033,"fede.213"
4034,"fede.203"
4035,"fede.105"
4036,"fede.228"
4037,"fede.112"
4039,"fede.112"
4040,"fede.103"
4042,"fede.131"
4043,"fede.203"
4046,"fede.103"
4049,"fede.201"
4051,"fede.105"
4053,"fede.131"
4055,"fede.203"
4056,"fede.201"
4057,"fede.105"
4060,"fede.105"
4063,"fede.228"
4064,"fede.103"
4074,"fede.131"
4075,"fede.131"
4076,"fede.228"
4080,"fede.138"
4082,"fede.112"
4083,"fede.201"
4084,"fede.228"
4087,"fede.228"
4092,"fede.213"
4093,"fede.201"
4094,"fede.131"
4095,"fede.228"
4096,"fede.131"
4097,"fede.103"
4098,"fede.103"
4099,"fede.203"
4101,"fede.138"
4102,"fede.131"
4103,"fede.203"
4105,"fede.213"
4109,"fede.228"
4111,"fede.209"
4112,"fede.105"
4120,"fede.103"
4121,"fede.201"
4123,"fede.209"
4124,"fede.112"
4128,"fede.105"
4134,"fede.228"
4135,"fede.228"
4137,"fede.131"
4138,"fede.131"
4139,"fede.138"
4142,"fede.228"
4143,"fede.103"
4144,"fede.138"
4146,"fede.105"
4147,"fede.103"
4149,"fede.228"
4150,"fede.209"
4152,"fede.103"
4154,"fede.203"
4158,"fede.203"
4162,"fede.138"
4164,"fede.112"
4171,"fede.123"
4172,"fede.123"
4184,"fede.116"
4207,"fede.109"
4217,"fede.115"
4225,"fede.107"
4226,"fede.125"
4227,"fede.107"
4230,"fede.111"
4232,"fede.111"
4233,"fede.212"
4235,"fede.111"
4236,"fede.101"
4237,"fede.111"
4238,"fede.102"
4244,"fede.111"
4253,"fede.125"
4266,"fede.103"
4271,"fede.108"
4298,"fede.127"
4307,"fede.102"
4308,"fede.136"
4309,"fede.107"
4311,"fede.136"
4312,"fede.101"
4315,"fede.116"
4316,"fede.101"
4318,"fede.101"
4320,"fede.116"
4322,"fede.113"
4326,"fede.107"
4327,"fede.136"
4328,"fede.101"
4329,"fede.107"
4331,"fede.136"
4332,"fede.102"
4334,"fede.107"
4336,"fede.102"
4339,"fede.116"
4340,"fede.107"
4341,"fede.102"
4343,"fede.107"
4344,"fede.101"
4345,"fede.101"
4347,"fede.113"
4349,"fede.107"
4351,"fede.107"
4352,"fede.410"
4359,"fede.123"
4388,"fede.101"
4389,"fede.124"
4401,"fede.135"
4412,"fede.103"
4415,"fede.106"
4423,"fede.103"
4429,"fede.125"
4430,"fede.604"
4434,"fede.242"
4436,"fede.101"
4440,"fede.102"
4441,"fede.101"
4442,"fede.102"
4447,"fede.106"
4448,"fede.101"
4450,"fede.101"
4451,"fede.102"
4452,"fede.106"
4453,"fede.102"
4454,"fede.102"
4455,"fede.105"
4458,"fede.106"
4460,"fede.105"
4461,"fede.105"
4464,"fede.101"
4468,"fede.101"
4472,"fede.101"
4476,"fede.106"
4481,"fede.105"
4484,"fede.103"
4486,"fede.107"
4487,"fede.105"
4492,"fede.103"
4493,"fede.107"
4496,"fede.106"
4499,"fede.118"
4501,"fede.118"
4503,"fede.108"
4522,"fede.105"
4524,"fede.108"
4532,"fede.102"
4533,"fede.126"
4535,"fede.107"
4537,"fede.102"
4539,"fede.102"
4556,"fede.211"
4558,"fede.604"
4560,"fede.102"
4562,"fede.114"
4563,"fede.108"
4565,"fede.115"
4566,"fede.111"
4567,"fede.102"
4568,"fede.108"
4569,"fede.102"
4572,"fede.109"
4573,"fede.108"
4575,"fede.121"
4579,"fede.108"
4580,"fede.122"
4581,"fede.114"
4582,"fede.122"
4583,"fede.114"
4595,"fede.108"
4596,"fede.101"
4598,"fede.103"
4599,"fede.101"
4602,"fede.105"
4604,"fede.101"
4605,"fede.403"
4606,"fede.103"
4632,"fede.209"
4636,"fede.242"
4649,"fede.403"
4656,"fede.501"
4657,"fede.605"
4672,"fede.111"
4686,"fede.218"
4720,"fede.108"
4722,"fede.108"
4726,"fede.102"
4727,"fede.102"
4731,"fede.403"
4745,"fede.242"
4764,"fede.115"
4766,"fede.233"
4768,"fede.107"
4782,"fede.135"
4796,"fede.127"
4797,"fede.111"
4805,"fede.206"
4807,"fede.132"
4840,"fede.126"
4844,"fede.245"
4866,"fede.111"
4870,"fede.211"
4882,"fede.119"
4893,"fede.111"
4907,"fede.115"
4941,"fede.119"
4975,"fede.133"
4981,"fede.402"
4986,"fede.108"
4988,"fede.103"
4989,"fede.108"
4991,"fede.103"
4995,"fede.108"
5017,"fede.242"
5030,"fede.211"
5049,"fede.403"
5064,"fede.403"
5065,"fede.403"
5081,"fede.115"
5087,"fede.124"
5109,"fede.133"
5117,"fede.121"
5119,"fede.108"
5124,"fede.102"
5125,"fede.118"
5127,"fede.201"
5129,"fede.103"
5130,"fede.121"
5133,"fede.102"
5136,"fede.103"
5138,"fede.112"
5139,"fede.201"
5146,"fede.102"
5148,"fede.121"
5150,"fede.108"
5152,"fede.103"
5153,"fede.103"
5154,"fede.103"
5164,"fede.102"
5166,"fede.201"
5167,"fede.102"
5168,"fede.108"
5172,"fede.102"
5175,"fede.102"
5176,"fede.118"
5181,"fede.121"
5184,"fede.105"
5186,"fede.201"
5188,"fede.108"
5189,"fede.201"
5191,"fede.105"
5192,"fede.108"
5196,"fede.111"
5217,"fede.134"
5229,"fede.109"
5234,"fede.413"
5241,"fede.119"
5253,"fede.413"
5263,"fede.102"
5266,"fede.101"
5272,"fede.206"
5279,"fede.103"
5287,"fede.134"
5313,"fede.111"
5319,"fede.123"
5353,"fede.101"
5356,"fede.123"
5361,"fede.403"
5380,"fede.101"
5388,"fede.125"
5392,"fede.113"
5393,"fede.113"
5397,"fede.113"
5398,"fede.102"
5402,"fede.102"
5403,"fede.102"
5404,"fede.102"
5406,"fede.102"
5410,"fede.113"
5411,"fede.101"
5413,"fede.103"
5414,"fede.102"
5415,"fede.102"
5417,"fede.103"
5420,"fede.103"
5463,"fede.119"
5474,"fede.242"
5480,"fede.124"
5483,"fede.121"
5489,"fede.125"
5495,"fede.242"
5524,"fede.402"
5538,"fede.110"
5551,"fede.211"
5552,"fede.242"
5590,"fede.109"
5591,"fede.108"
5603,"fede.218"
5605,"fede.115"
5608,"fede.242"
5611,"fede.117"
5616,"fede.119"
5617,"fede.105"
5622,"fede.604"
5625,"fede.101"
5626,"fede.604"
5627,"fede.101"
5629,"fede.132"
5630,"fede.108"
5631,"fede.119"
5640,"fede.108"
5644,"fede.403"
5655,"fede.242"
5673,"fede.129"
5677,"fede.420"
5681,"fede.242"
5684,"fede.133"
5690,"fede.604"
5698,"fede.135"
5716,"fede.242"
5737,"fede.408"
5755,"fede.132"
5776,"fede.111"
5778,"fede.109"
5791,"fede.102"
5794,"fede.109"
5796,"fede.102"
5801,"fede.102"
5848,"fede.132"
5873,"fede.129"
5882,"fede.125"
5885,"fede.111"
5905,"fede.233"
5906,"fede.233"
5909,"fede.115"
5910,"fede.111"
5913,"fede.266"
5914,"fede.221"
5923,"fede.115"
5930,"fede.132"
5933,"fede.106"
5937,"fede.127"
5938,"fede.102"
5939,"fede.127"
5941,"fede.106"
5943,"fede.106"
5945,"fede.205"
5946,"fede.127"
5948,"fede.127"
5956,"fede.102"
5957,"fede.106"
5959,"fede.123"
5967,"fede.111"
5972,"fede.111"
5974,"fede.122"
5979,"fede.122"
5981,"fede.103"
5984,"fede.245"
5985,"fede.122"
5989,"fede.103"
5998,"fede.111"
6003,"fede.124"
6006,"fede.254"
6025,"fede.254"
6033,"fede.103"
6040,"fede.108"
6041,"fede.103"
6042,"fede.103"
6048,"fede.133"
6056,"fede.410"
6061,"fede.106"
6066,"fede.102"
6067,"fede.106"
6071,"fede.102"
6072,"fede.110"
6073,"fede.106"
6075,"fede.106"
6078,"fede.102"
6079,"fede.106"
6080,"fede.113"
6081,"fede.122"
6082,"fede.102"
6083,"fede.102"
6084,"fede.102"
6085,"fede.108"
6089,"fede.113"
6090,"fede.105"
6091,"fede.108"
6092,"fede.108"
6093,"fede.101"
6095,"fede.105"
6096,"fede.102"
6098,"fede.102"
6103,"fede.101"
6108,"fede.101"
6112,"fede.110"
6117,"fede.105"
6119,"fede.122"
6121,"fede.110"
6123,"fede.110"
6124,"fede.102"
6125,"fede.102"
6126,"fede.106"
6128,"fede.122"
6129,"fede.110"
